id_venta;fecha;id_cliente;id_producto;id_tienda;id_promocion;cantidad;precio_unitario;descuento
43596;01/06/2025;2501;473;15;;1;24.55;0.0
35927;16/01/2025;3568;167;14;;1;143.79;0.0
38444;2025-02-28;4777;290;15;;1;131.34;0.0
36381;22/01/2025;2093;134;5;;1;10.83;
31288;07/12/2024;2549;46;13;;1;86.0;0.0
24267;2024-09-13;1706;131;13;;1;10.24;0.0
50340;19 de agosto de 2025;4794;44;9;;1;12.27;0.0
21386;2024-08-09;1157;358;9;;3;17.87;0.0
32067;12/12/2024;4948;197;3;40.0;1;46.3;13.89
54051;21/10/2025;4341;89;8;;1;49.28;0.0
9956;2024-04-19;1283;310;8;20.0;1;7.6;0.76
34609;2024-12-30;681;291;9;;1;15.73;0.0
52957;2025-10-03;1048;131;12;25.0;1;9.93;2.48
7802;2024-03-21;4030;53;8;37.0;1;83.94;4.2
30529;2024-12-01;1121;49;10;;2;10.93;0.0
18050;2024-07-13;1463;377;1;23.0;1;149.37;22.41
13379;2024-05-31;2864;209;8;;1;320.85;0.0
42251;2025-05-10;1685;15;3;;1;35.97;0.0
56095;2025-11-22;3109;65;12;;1;13.75;0.0
52900;02/10/2025;1124;396;13;;2;19.41;0.0
26870;2024-10-18;3048;412;7;;1;124.81;0.0
4129;2024-02-06;1434;87;12;;3;63.44;0.0
5107;18/02/2024;4324;479;12;14.0;1;34.04;3.4
26245;10/10/2024;2880;233;10;;1;5.07;0.0
35391;09/01/2025;4654;203;3;15.0;1;23.33;1.17
50857;2025-08-27;3016;487;4;;1;74.9;0.0
59013;2025-12-22;3902;447;4;;1;147.56;0.0
2681;23/01/2024;2932;471;15;;1;37.0;0.0
8936;2024-04-03;4760;151;5;;1;24.98;0.0
38889;07/03/2025;1026;128;5;22.0;2;19.81;7.92
58838;2025-12-20;4883;132;10;;1;144.3;0.0
11903;2024-05-15;1796;417;13;19.0;1;22.6;5.65
16841;05/07/2024;1000;113;5;;1;59.13;0.0
50105;2025-08-16;2184;282;5;17.0;1;21.54;5.38
12231;2024-05-19;1721;122;6;;1;91.57;0.0
53229;2025-10-07;662;257;6;25.0;1;65.93;16.48
36779;27/01/2025;1708;378;10;;2;34.67;0.0
3594;2024-01-31;2645;104;4;;1;120.04;0.0
50989;2025-08-29;2051;194;14;4.0;1;51.52;7.73
41872;04/05/2025;2846;225;7;;1;35.33;0.0
38804;2025-03-06;19;310;10;22.0;1;7.31;1.46
46955;12/07/2025;2031;7;3;;1;17.46;0.0
7479;17/03/2024;3066;216;4;;1;245.26;0.0
51077;30/08/2025;2421;225;8;;1;35.79;0.0
15294;2024-06-21;1165;166;12;;1;14.74;0.0
17754;12/07/2024;4603;310;8;23.0;1;7.43;1.11
8122;2024-03-24;2211;11;8;37.0;1;12.82;0.64
709;07/01/2024;1142;246;5;38.0;1;8.13;1.22
10853;03/05/2024;3990;131;15;20.0;1;10.63;1.06
13364;31/05/2024;2864;274;8;;1;19.58;0.0
7498;2024-03-17;734;103;11;;1;12.36;0.0
5326;2024-02-21;1901;369;14;;2;66.95;0.0
35785;14/01/2025;3863;486;7;15.0;3;67.96;10.19
38381;2025-02-26;94;311;2;22.0;1;38.92;7.78
44290;11/06/2025;4032;46;11;;1;85.14;0.0
11045;05/05/2024;2052;192;13;;1;85.38;0.0
57028;03/12/2025;1866;151;15;26.0;1;25.57;7.67
59976;2025-12-30;4288;26;13;;1;9.58;
29248;2024-11-16;4668;389;2;;2;86.98;
29243;2024-11-16;2421;44;9;28.0;2;11.49;6.89
16791;2024-07-05;2688;159;2;;1;47.21;0.0
5087;18/02/2024;835;209;6;;1;299.44;0.0
46295;06/07/2025;4992;12;3;;3;69.05;0.0
17854;12/07/2024;4314;244;6;23.0;2;175.49;
29891;2024-11-25;3369;113;4;7.0;2;60.16;
730;7 de enero de 2024;4011;389;4;;1;86.05;0.0
9264;8 de abril de 2024;4769;420;15;37.0;1;8.21;0.41
47490;16/07/2025;2535;120;12;;3;5.46;0.0
25444;2024-09-29;1468;213;14;9.0;1;19.31;5.79
7169;2024-03-14;1879;82;5;;2;55.14;0.0
4022;05/02/2024;3352;295;12;;1;56.99;0.0
28108;04/11/2024;2894;197;1;18.0;2;45.14;22.57
9599;2024-04-14;2565;43;15;12.0;1;13.02;2.6
33559;22 de diciembre de 2024;2383;431;3;;3;50.78;0.0
12258;2024-05-19;203;454;5;5.0;1;185.16;55.55
34919;3 de enero de 2025;249;350;11;15.0;1;30.7;1.54
35560;11/01/2025;4170;285;13;15.0;1;75.6;3.78
28138;2024-11-04;2894;473;1;18.0;1;25.56;6.39
18361;2024-07-16;4758;309;9;23.0;3;3.17;1.43
41316;24/04/2025;3927;407;1;35.0;1;23.29;1.16
32466;15/12/2024;3034;476;10;30.0;1;10.68;2.67
38339;25/02/2025;4134;231;2;22.0;1;24.9;4.98
485;05/01/2024;4917;440;3;38.0;1;95.63;14.34
19141;21/07/2024;3156;78;12;;1;22.67;0.0
30635;02/12/2024;4540;348;12;;1;42.32;0.0
47409;2025-07-15;4627;224;11;;1;38.1;0.0
3027;26/01/2024;1812;162;10;;1;29.27;0.0
47004;12/07/2025;3287;44;13;;1;12.24;0.0
59928;30/12/2025;2265;310;5;;1;7.62;0.0
53034;2025-10-04;215;413;8;25.0;1;15.99;4.0
40216;30/03/2025;1717;218;12;36.0;3;19.84;11.9
35041;2025-01-04;4269;350;7;15.0;1;29.09;1.45
52219;2025-09-19;3843;384;10;21.0;1;195.79;29.37
57724;10/12/2025;4969;176;3;;1;58.34;0.0
20223;2024-07-28;4219;454;8;34.0;3;175.26;78.87
58881;2025-12-21;2983;197;2;;1;46.87;0.0
1044;2024-01-10;1705;332;7;38.0;2;96.18;28.85
29452;19/11/2024;3114;345;12;33.0;1;29.21;8.76
18880;19 de julio de 2024;294;128;10;23.0;1;18.69;2.8
40550;5 de abril de 2025;1854;157;12;;2;127.05;0.0
9723;16/04/2024;3813;425;6;;1;47.63;0.0
7065;12/03/2024;2284;276;12;;1;101.75;0.0
25551;30/09/2024;2586;175;1;1.0;1;23.0;3.45
14444;12/06/2024;2939;231;8;;1;25.36;0.0
21822;2024-08-14;2052;231;13;;1;25.55;0.0
4054;05/02/2024;221;489;1;;1;221.51;0.0
19194;21/07/2024;2670;45;14;;1;94.46;0.0
44894;2025-06-19;2411;30;6;;1;7.47;0.0
42006;2025-05-06;2679;6;12;35.0;1;34.19;1.71
31492;08/12/2024;3086;29;1;30.0;1;19.24;4.81
15687;25/06/2024;4288;389;10;;1;85.67;0.0
42340;2025-05-12;2486;275;7;;1;17.83;0.0
8973;04/04/2024;70;345;7;;1;30.53;0.0
50961;28/08/2025;3897;233;15;;1;5.22;0.0
43922;05/06/2025;478;471;7;;2;35.54;0.0
54441;28/10/2025;1401;197;3;;2;45.16;0.0
44599;2025-06-15;140;239;13;;2;10.89;0.0
54012;20/10/2025;3322;309;5;;1;2.91;0.0
24630;18/09/2024;118;25;3;16.0;1;30.48;6.1
12268;2024-05-19;4210;70;6;;1;18.47;0.0
9502;12/04/2024;1412;357;7;;2;19.59;0.0
13470;02/06/2024;1000;187;11;;1;22.7;0.0
58433;17/12/2025;4263;377;14;;1;154.12;0.0
13957;2024-06-07;3972;111;5;;2;255.16;0.0
33305;2024-12-21;669;471;14;30.0;2;34.5;17.25
30775;2024-12-03;1867;311;14;;1;40.59;0.0
7391;2024-03-16;2645;386;8;;1;36.89;0.0
30225;2024-11-29;2466;44;14;28.0;2;11.59;6.95
1004;10/01/2024;4438;246;13;;3;7.34;0.0
20083;27/07/2024;2296;87;15;;1;60.26;0.0
29958;2024-11-25;3769;194;11;33.0;3;50.11;45.1
53850;18/10/2025;4269;30;5;;1;7.68;0.0
42926;2025-05-22;4147;361;9;;1;19.89;0.0
47098;13 de julio de 2025;809;287;3;;2;34.26;0.0
45452;2025-06-27;3543;228;8;;1;79.4;0.0
41345;24/04/2025;3099;454;15;35.0;2;176.67;17.67
6426;2024-03-06;141;309;14;;2;2.94;0.0
14182;2024-06-09;1749;345;13;;1;31.26;
58967;21/12/2025;4772;16;13;;3;19.06;0.0
14318;10/06/2024;1850;53;5;;2;87.84;0.0
59692;28/12/2025;4839;359;6;;1;9.88;0.0
39638;20/03/2025;4624;246;7;36.0;2;8.08;3.23
20476;30/07/2024;2051;1503;10;34.0;1;42.62;6.39
19139;2024-07-21;4836;9;4;;1;39.78;0.0
51050;29/08/2025;646;40;9;;1;28.21;
36703;26/01/2025;1167;191;13;;1;17.25;0.0
51997;2025-09-15;668;148;9;;2;40.45;0.0
35966;2025-01-17;3910;419;11;32.0;1;293.71;14.69
53170;2025-10-06;493;120;10;;1;5.7;0.0
38236;23/02/2025;1294;302;6;;1;26.92;0.0
58733;20/12/2025;2939;440;7;;1;89.85;0.0
59911;30 de diciembre de 2025;4487;296;11;;2;36.93;0.0
39518;18/03/2025;2355;282;12;;1;21.64;0.0
38243;2025-02-23;2749;31;8;;1;50.16;0.0
30257;30/11/2024;992;355;9;28.0;2;8.8;5.28
45388;2025-06-26;1438;498;2;31.0;2;55.47;33.28
41395;2025-04-26;731;78;9;35.0;2;21.24;2.12
30525;01/12/2024;3086;151;3;;1;26.52;0.0
7719;2024-03-20;4761;381;2;;1;61.96;0.0
31755;2024-12-10;1718;331;4;;2;28.14;0.0
2528;22/01/2024;4744;134;2;11.0;2;10.79;2.16
56773;2025-12-01;4870;122;4;26.0;1;90.94;
20868;3 de agosto de 2024;2267;401;5;34.0;1;19.63;2.94
49916;12/08/2025;2921;202;12;17.0;2;157.71;78.86
49036;2025-07-30;604;9;10;;2;39.48;0.0
903;09/01/2024;86;193;2;38.0;1;73.88;11.08
25912;05/10/2024;4911;185;11;1.0;2;96.3;28.89
4188;2024-02-07;578;286;9;29.0;1;107.74;32.32
52248;2025-09-19;2727;429;15;25.0;3;25.2;18.9
49668;08/08/2025;337;246;13;;1;8.16;0.0
54939;2025-11-05;1775;98;1;;3;18.88;0.0
40878;2025-04-14;4398;224;12;;2;38.11;0.0
25841;04/10/2024;586;55;13;1.0;2;175.51;52.65
8395;27/03/2024;2997;78;9;37.0;1;22.64;1.13
9903;2024-04-18;87;3;11;12.0;1;94.48;18.9
12082;17/05/2024;623;224;1;;1;39.33;
17378;09/07/2024;2051;7;4;;2;17.35;0.0
41271;23 de abril de 2025;2411;350;6;;1;31.37;0.0
6693;2024-03-08;4708;22;15;;1;7.01;0.0
53074;2025-10-05;4547;450;1;25.0;2;25.48;12.74
4033;2024-02-05;221;114;1;;3;30.44;0.0
40549;2025-04-05;610;43;12;;1;13.57;0.0
54829;2025-11-03;4939;439;2;;1;47.76;0.0
22479;21/08/2024;3092;225;13;;1;33.29;0.0
36872;29/01/2025;2079;198;15;32.0;1;26.37;1.32
19593;2024-07-23;250;408;8;;1;26.42;0.0
16031;29/06/2024;1902;53;8;;1;91.43;0.0
38218;2025-02-23;404;342;1;;1;239.28;0.0
25748;03/10/2024;1564;246;15;;1;7.54;0.0
52535;25/09/2025;4617;296;12;25.0;1;36.35;9.09
21074;05/08/2024;3731;136;9;34.0;2;107.83;32.35
22711;24/08/2024;365;9;12;;2;39.08;0.0
7893;22/03/2024;4150;383;8;;1;63.38;0.0
33245;20/12/2024;3986;257;6;;1;65.76;0.0
7341;16 de marzo de 2024;2083;153;8;;1;35.27;
21772;2024-08-13;661;393;4;;1;42.3;
43266;2025-05-27;2767;141;4;;1;8.48;0.0
25835;2024-10-04;303;361;3;;3;18.88;0.0
33852;2024-12-25;4397;85;15;;1;19.99;0.0
58090;2025-12-13;515;299;10;;1;23.1;0.0
6946;2024-03-11;189;105;10;;2;20.37;0.0
53828;17/10/2025;2767;361;12;25.0;1;18.83;4.71
5360;22/02/2024;4723;14;8;;1;17.02;0.0
15158;2024-06-20;1283;46;15;;1;86.01;0.0
6574;2024-03-07;747;236;14;;1;77.75;0.0
4525;2024-02-11;212;226;11;29.0;1;7.66;2.3
32068;2024-12-12;1341;268;5;30.0;1;19.87;4.97
25768;03/10/2024;2;114;6;1.0;1;30.82;4.62
32057;2024-12-12;3126;262;1;30.0;1;125.55;31.39
53268;08/10/2025;808;6;15;;1;36.34;0.0
57227;05/12/2025;1049;440;4;26.0;1;89.86;26.96
52910;2025-10-02;4765;237;12;25.0;1;192.47;48.12
51617;2025-09-08;1624;78;1;4.0;1;21.2;3.18
40685;2025-04-09;2240;311;6;;1;42.12;
9020;04/04/2024;3239;286;3;;1;104.38;0.0
11758;13/05/2024;1360;167;9;19.0;1;142.14;35.53
33434;2024-12-22;3377;339;8;;1;132.26;
22562;2024-08-23;4758;70;7;;3;17.51;0.0
278;03/01/2024;4761;361;14;;1;19.77;
26460;2024-10-13;2939;40;11;;1;25.99;
32532;15 de diciembre de 2024;4624;350;4;;1;31.37;0.0
28218;05/11/2024;1360;268;1;33.0;1;19.81;5.94
8565;29/03/2024;992;49;7;37.0;1;11.02;0.55
15725;26/06/2024;1100;361;1;;1;19.32;0.0
25970;06/10/2024;3731;194;4;;1;47.26;0.0
56600;29/11/2025;3866;496;6;26.0;1;61.99;18.6
27539;27 de octubre de 2024;3334;279;7;;1;211.71;0.0
4658;2024-02-13;1284;447;12;;2;145.02;0.0
22550;22 de agosto de 2024;897;361;3;;1;19.22;0.0
59176;23 de diciembre de 2025;3445;499;2;;1;21.63;0.0
4365;2024-02-09;585;96;15;29.0;1;16.4;4.92
44497;2025-06-14;2242;197;11;;1;48.05;0.0
21809;2024-08-13;3946;279;1;34.0;1;222.54;33.38
28377;2024-11-07;2204;310;15;;1;7.9;0.0
28126;2024-11-04;3294;381;2;;1;58.22;0.0
28200;2024-11-05;713;154;8;18.0;2;5.53;2.77
41497;2025-04-28;3223;440;13;;1;97.82;0.0
7428;2024-03-17;602;309;5;;2;3.03;0.0
48388;2025-07-24;3456;338;11;;2;26.72;0.0
50104;16/08/2025;3225;424;15;;1;50.58;0.0
40655;2025-04-08;4936;103;4;;1;12.69;
25741;2024-10-03;140;450;3;;1;25.91;0.0
22819;26 de agosto de 2024;3367;309;7;;1;3.02;0.0
28587;09/11/2024;1514;122;4;33.0;1;90.37;27.11
30768;03/12/2024;1497;498;10;28.0;1;55.98;16.79
57420;2025-12-07;4693;324;15;;1;6.84;0.0
5599;25/02/2024;4086;9;10;;1;36.1;0.0
18925;2024-07-19;3772;122;6;;2;91.96;0.0
13185;29/05/2024;1363;61;14;19.0;1;50.69;12.67
22504;22/08/2024;742;40;4;;1;25.78;0.0
30057;2024-11-27;169;431;13;;1;51.77;0.0
43896;05/06/2025;2283;445;4;;1;56.07;0.0
36547;2025-01-24;994;311;8;32.0;1;41.27;2.06
19111;20/07/2024;3834;389;9;34.0;1;88.12;13.22
55101;07/11/2025;1760;161;6;;1;28.31;0.0
37619;11/02/2025;2309;244;11;10.0;2;184.31;18.43
8277;26/03/2024;2492;48;5;37.0;1;249.44;12.47
33804;24/12/2024;359;316;11;30.0;1;4.76;
15627;25/06/2024;4924;226;3;;1;7.55;0.0
27603;28/10/2024;666;361;9;;1;19.73;0.0
48221;22/07/2025;4618;416;15;;2;49.2;0.0
34116;27/12/2024;3322;45;8;27.0;1;93.67;28.1
19371;22/07/2024;1524;429;4;34.0;1;24.2;
45878;02/07/2025;1702;70;8;;1;18.82;0.0
34760;2025-01-01;2938;350;6;27.0;1;31.33;9.4
59022;2025-12-22;777;380;6;;1;16.35;0.0
24626;2024-09-17;4100;3;7;16.0;3;87.48;52.49
39690;21/03/2025;2070;10;9;36.0;2;27.64;11.06
56930;02/12/2025;4906;134;12;26.0;1;10.44;3.13
55953;2025-11-20;4030;114;11;26.0;1;31.61;9.48
47690;18/07/2025;4624;348;10;;3;40.37;0.0
4977;2024-02-17;2236;352;15;29.0;1;33.3;9.99
6294;2024-03-04;1986;11;3;;1;12.61;0.0
57412;2025-12-06;933;310;10;26.0;1;7.58;2.27
1567;2024-01-15;655;360;6;;1;100.2;0.0
56119;2025-11-22;410;236;11;26.0;1;77.81;23.34
45729;2025-07-01;4447;221;12;;1;57.17;0.0
30098;2024-11-27;744;498;10;7.0;1;53.77;5.38
35487;2025-01-10;3284;81;1;;1;31.02;0.0
27249;2024-10-23;112;443;10;;2;39.97;0.0
42557;2025-05-15;3484;420;4;;2;8.37;0.0
2350;2024-01-21;3247;473;14;;1;24.61;0.0
42528;15/05/2025;3834;361;13;;1;18.59;0.0
5764;27/02/2024;603;455;1;13.0;1;26.65;2.67
57673;09/12/2025;586;194;6;;3;51.08;0.0
18766;2024-07-18;2494;224;12;23.0;1;37.88;5.68
47127;13/07/2025;1587;103;1;;1;12.19;0.0
48784;28 de julio de 2025;478;397;8;;1;80.57;0.0
40369;02/04/2025;4487;470;2;;3;52.04;
11038;05/05/2024;1456;153;15;20.0;2;33.67;6.73
36120;2025-01-18;4240;78;11;32.0;1;20.56;1.03
20041;27/07/2024;4389;442;14;34.0;1;34.75;5.21
44889;19/06/2025;1863;238;3;;1;12.17;0.0
477;2024-01-05;3164;348;15;;3;41.07;0.0
8789;2024-04-01;4873;471;3;37.0;1;34.2;1.71
21795;13/08/2024;3095;406;7;;1;2.61;0.0
21256;2024-08-07;668;137;10;34.0;2;32.03;9.61
7684;2024-03-19;2075;405;15;;1;147.82;0.0
42034;07/05/2025;4753;367;5;;1;90.08;0.0
37964;18/02/2025;4627;458;8;;1;18.29;0.0
19829;2024-07-26;560;141;6;34.0;1;8.26;1.24
48328;2025-07-24;4618;307;2;;3;223.9;0.0
10531;2024-04-29;2696;348;6;20.0;1;40.38;4.04
5764;27/02/2024;603;455;1;13.0;1;26.65;2.67
33442;2024-12-22;3115;244;12;15.0;1;183.48;9.17
10657;2024-05-01;3164;232;15;;3;21.87;0.0
10290;25/04/2024;2716;177;9;;2;13.24;0.0
11301;08/05/2024;1861;188;14;;1;124.76;0.0
15962;2024-06-28;4722;46;14;;2;94.88;0.0
21350;2024-08-08;4804;18;11;34.0;2;10.85;3.25
262;2024-01-03;1283;229;8;;1;22.61;0.0
13913;06/06/2024;3754;483;11;;3;15.23;0.0
52806;30/09/2025;3538;167;5;25.0;1;138.85;34.71
35468;2025-01-10;203;383;11;15.0;2;70.44;7.04
213;02/01/2024;1066;197;15;;1;47.72;0.0
34136;27/12/2024;3274;195;4;27.0;1;271.62;81.49
37897;17/02/2025;2051;168;13;10.0;1;11.82;0.59
1335;2024-01-13;235;239;6;;1;10.31;0.0
46492;2025-07-07;3060;196;10;;1;3.11;0.0
46949;2025-07-12;4801;202;12;;1;159.28;0.0
1593;15/01/2024;4183;440;9;;1;88.63;0.0
46286;06/07/2025;3109;114;6;;1;31.97;0.0
15405;2024-06-22;1767;470;3;;1;52.71;0.0
17386;09/07/2024;1997;348;2;23.0;2;38.55;
56273;24/11/2025;4249;224;3;;1;37.63;0.0
38404;2025-02-27;2141;348;6;22.0;1;42.14;8.43
42039;2025-05-07;3678;348;7;35.0;2;40.72;4.07
43145;2025-05-25;717;350;13;;1;30.8;0.0
38532;01/03/2025;515;431;5;22.0;2;51.0;20.4
8669;2024-03-30;2223;346;9;;3;119.98;0.0
49671;08/08/2025;3078;350;2;;1;30.84;
34836;2025-01-02;4370;490;13;15.0;1;18.05;0.9
31432;8 de diciembre de 2024;750;346;7;30.0;1;116.49;29.12
5820;28/02/2024;234;91;3;13.0;1;23.51;2.35
42696;18/05/2025;2549;99;2;;1;27.85;0.0
4029;2024-02-05;3089;389;9;;1;85.17;0.0
19696;24 de julio de 2024;2131;396;12;;1;19.54;0.0
27336;25/10/2024;3404;427;7;;1;30.57;0.0
25078;24/09/2024;1855;52;9;9.0;1;112.75;33.82
20095;2024-07-27;3392;228;2;34.0;3;78.62;35.38
59138;23/12/2025;3345;296;10;;1;35.02;0.0
4403;10/02/2024;343;309;5;14.0;1;3.19;0.32
11987;2024-05-16;4122;126;8;19.0;2;10.41;5.21
42813;20/05/2025;103;189;13;;2;18.83;
34804;02/01/2025;1948;195;12;;1;279.0;0.0
17096;2024-07-07;3611;152;10;;1;46.11;0.0
35360;08/01/2025;758;3;13;15.0;1;90.79;4.54
23900;8 de septiembre de 2024;1582;202;10;;1;163.18;0.0
48413;2025-07-25;3788;314;12;;1;332.16;0.0
49906;11 de agosto de 2025;1000;350;4;;2;29.42;0.0
44931;2025-06-20;2951;225;3;;1;33.1;0.0
32961;2024-12-18;1193;9;5;30.0;2;38.18;19.09
24988;22/09/2024;4883;195;2;;1;259.59;
56963;2025-12-03;3988;131;4;26.0;1;9.81;2.94
15573;2024-06-24;3670;170;11;;3;21.6;0.0
32085;12/12/2024;4305;141;1;;1;7.73;0.0
27708;2024-10-30;2292;370;12;18.0;1;109.27;27.32
15503;2024-06-23;774;483;1;;1;15.93;0.0
46499;7 de julio de 2025;4889;71;7;;1;37.16;0.0
34038;26/12/2024;4565;489;7;;2;216.04;0.0
51296;02/09/2025;3364;43;15;;1;14.29;0.0
11904;2024-05-15;1796;326;13;19.0;1;73.71;18.43
47188;2025-07-14;4686;263;11;;1;49.91;0.0
56376;26 de noviembre de 2025;841;470;1;;1;53.75;0.0
4466;10 de febrero de 2024;1763;468;1;29.0;3;50.9;45.81
17487;09/07/2024;2664;255;10;23.0;1;49.0;7.35
45289;25/06/2025;2377;355;3;;1;8.97;0.0
25562;1 de octubre de 2024;165;344;4;9.0;1;44.93;13.48
38155;2025-02-22;2141;85;3;;1;21.39;0.0
1247;2024-01-12;3405;286;1;;1;112.3;0.0
27310;2024-10-24;3509;405;5;;1;158.95;0.0
57528;2025-12-07;2724;348;2;;1;42.63;0.0
17932;13/07/2024;3968;409;6;;2;40.42;0.0
34309;2024-12-28;1030;246;11;15.0;1;7.61;0.38
54031;20/10/2025;4986;473;8;;200;24.73;0.0
33653;2024-12-23;3563;165;10;;1;51.22;0.0
48305;2025-07-23;2670;184;14;;1;39.02;0.0
47823;2025-07-19;2670;231;12;;2;23.09;0.0
16752;2024-07-04;4957;33;12;;3;30.03;0.0
49741;2025-08-09;847;296;3;;1;36.04;0.0
23816;2024-09-07;4326;39;1;;1;30.87;0.0
37365;2025-02-05;2535;46;9;;1;89.38;0.0
26465;2024-10-13;2979;331;8;;2;28.54;0.0
37769;14/02/2025;1101;246;4;10.0;1;7.66;0.38
1181;2024-01-11;4311;98;4;38.0;2;18.9;5.67
40610;2025-04-07;1030;171;4;;1;111.51;0.0
59499;26/12/2025;3704;239;5;;1;11.0;0.0
16737;04/07/2024;2377;25;7;;1;29.46;0.0
41461;27/04/2025;260;469;14;35.0;3;26.67;4.0
15770;2024-06-26;3689;350;12;;3;31.21;0.0
39479;17/03/2025;3966;385;13;36.0;1;6.37;1.27
55804;2025-11-17;4617;11;3;;1;12.67;0.0
27079;2024-10-21;3384;114;12;;2;33.11;0.0
53956;19/10/2025;1777;191;13;8.0;2;18.18;1.82
33909;25 de diciembre de 2024;1478;70;1;27.0;1;18.53;
24954;22/09/2024;3970;309;2;6.0;2;2.98;
8871;02/04/2024;787;473;7;12.0;2;26.53;10.61
25454;29/09/2024;4959;239;8;1.0;1;10.29;1.54
254;3 de enero de 2024;1385;345;12;;1;30.46;0.0
20165;2024-07-28;1744;46;3;34.0;2;93.98;28.19
24281;13/09/2024;1661;238;2;16.0;2;12.4;4.96
26761;2024-10-16;3363;442;8;24.0;1;31.47;3.15
37452;2025-02-07;1456;224;5;;2;41.48;0.0
9621;2024-04-14;768;225;10;12.0;2;34.23;13.69
34507;30 de diciembre de 2024;3863;453;1;15.0;3;75.63;11.34
28167;05/11/2024;1120;411;15;18.0;1;79.41;19.85
20897;2024-08-03;2475;427;8;;1;32.8;0.0
5032;17 de febrero de 2024;1670;194;4;14.0;2;49.16;9.83
52005;15/09/2025;1460;416;15;4.0;1;51.74;7.76
5071;2024-02-18;4721;236;12;14.0;1;78.23;7.82
58476;17/12/2025;351;480;4;;1;70.51;0.0
21461;10/08/2024;1686;108;12;;1;66.77;0.0
2908;26/01/2024;3819;498;10;;1;58.61;0.0
21269;07/08/2024;1030;440;4;;2;96.04;0.0
30302;30/11/2024;2158;347;5;;1;45.91;0.0
31320;2024-12-07;965;70;5;;2;17.19;0.0
41827;04/05/2025;1688;98;1;35.0;3;17.33;2.6
2102;19/01/2024;734;439;4;;1;49.33;0.0
23308;01/09/2024;538;439;15;;500;45.57;
27935;02/11/2024;1941;89;14;18.0;1;50.48;12.62
55029;06/11/2025;3315;45;15;;1;91.27;0.0
