id_cliente;recencia;frecuencia;monto;afinidad_promociones;afinidad_medicamentos;segmento
107;403;2;52.32000000000001;1.0;0.0;Cazadores de Ofertas
108;22;69;5319.12;0.1603423122621787;0.11748935914211373;Leales VIP / Crónicos
109;15;2;157.32;0.0;0.0;Esporádicos Recientes
110;603;6;551.3199999999999;1.0;0.0461982151926286;Cazadores de Ofertas
111;402;5;421.96999999999997;0.0;0.10825414128966515;Esporádicos / Desertores
112;3;95;6631.49;0.44969682529868854;0.046084665738770625;Leales VIP / Crónicos
113;485;1;8.6;0.0;0.0;Esporádicos / Desertores
114;7;26;1153.17;0.48297302219100396;0.10639368002983081;Frecuentes Regulares
115;272;2;44.04;0.0;0.0;Esporádicos Recientes
116;165;11;481.2;0.05521612635078969;0.062032418952618455;Esporádicos Recientes
117;349;3;273.93000000000006;0.9614500054758512;0.0;Cazadores de Ofertas
118;468;3;101.06;0.24124282604393432;0.19730852958638434;Esporádicos / Desertores
119;20;23;1396.22;0.37216198020369284;0.04040194238730286;Frecuentes Regulares
120;432;2;58.56;0.3908811475409836;0.0;Esporádicos / Desertores
121;167;2;162.04000000000002;0.0;0.5725746729202665;En Riesgo (Solo Medicamentos)
122;20;2;58.47;0.29502308876346844;0.0;Esporádicos Recientes
123;102;13;1625.96;0.23931093015818347;0.03284213633791729;Frecuentes Regulares
124;0;13;2755.24;0.12078802572552665;0.019294144974666454;Frecuentes Regulares
125;321;3;258.61;0.13553226866710488;0.0;Esporádicos / Desertores
126;259;3;435.74;0.0;0.0;Esporádicos Recientes
127;8;35;2028.73;0.2981126123239662;0.03533737855702829;Frecuentes Regulares
128;233;2;167.62;0.4451736069681422;0.0;Esporádicos Recientes
129;92;6;626.58;0.24105461393596989;0.07986210858948578;Esporádicos Recientes
130;239;2;89.47000000000001;0.7683022242092321;0.0;Cazadores de Ofertas
132;72;4;280.67;0.8193608151922186;0.13656607403712545;Cazadores de Ofertas
134;195;2;11.36;0.0;0.0;Esporádicos Recientes
135;521;1;151.85;0.0;0.0;Esporádicos / Desertores
136;105;5;398.96;0.6792159614998998;0.333592340084219;Cazadores de Ofertas
137;333;5;313.31;0.6796463566435799;0.0;Cazadores de Ofertas
138;5;39;3053.4700000000003;0.4270125463816576;0.03832361215273115;Frecuentes Regulares
139;24;4;326.07;0.033367068420891224;0.033367068420891224;Esporádicos Recientes
140;192;93;6229.38;0.4618100035637575;0.06826682591204902;Leales VIP / Crónicos
141;8;36;1639.09;0.19584037484213804;0.02214643491205486;Frecuentes Regulares
142;644;4;305.4;0.6966928618205633;0.0;Cazadores de Ofertas
143;556;7;844.0799999999999;0.22701639655009007;0.0;Esporádicos / Desertores
145;577;2;144.85999999999999;1.0;0.0;Cazadores de Ofertas
146;5;6;588.81;0.14279648783138874;0.012329953635298315;Esporádicos Recientes
148;255;21;1828.24;0.5318338948934495;0.009194635277644072;Frecuentes Regulares
149;587;2;80.1;1.0;0.18439450686641698;Cazadores de Ofertas
150;2;74;5912.22;0.3551187202100057;0.04485962971607958;Leales VIP / Crónicos
151;168;41;2700.98;0.36063206687942895;0.12372916496975171;Frecuentes Regulares
152;378;4;172.92999999999998;0.9402648470479384;0.5675706933441276;En Riesgo (Solo Medicamentos)
153;409;5;172.14;0.3580225397931916;0.0;Esporádicos / Desertores
154;10;8;708.13;0.8599127278889469;0.017567395817152217;Cazadores de Ofertas
155;257;6;325.32;0.5196114594860446;0.29232755440796754;Cazadores de Ofertas
156;332;6;229.32999999999998;0.5658657829328916;0.09837352287097197;Cazadores de Ofertas
157;19;34;1576.33;0.30429542037517526;0.1024087595871423;Frecuentes Regulares
158;29;7;426.96000000000004;0.29759228030728874;0.3367997002061083;Esporádicos Recientes
159;442;3;245.94;0.0;0.0;Esporádicos / Desertores
160;581;1;15.8;1.0;0.0;Cazadores de Ofertas
161;134;12;804.67;0.5004536020977544;0.026010662756160912;Esporádicos Recientes
162;3;42;2329.4900000000002;0.32680114531506893;0.12318576169032705;Frecuentes Regulares
163;709;1;221.05;1.0;0.0;Cazadores de Ofertas
164;87;4;286.28;0.881095431046528;0.04956685762190862;Cazadores de Ofertas
165;260;40;2100.1800000000003;0.4025178794198592;0.08907807902179812;Frecuentes Regulares
166;21;6;407.39;0.20641154667517614;0.04784113503031493;Esporádicos Recientes
167;155;3;379.93;0.0;0.0;Esporádicos Recientes
168;31;1;10.27;0.0;0.0;Esporádicos Recientes
169;1;83;7901.18;0.3640038576516419;0.07350927329841872;Leales VIP / Crónicos
170;493;6;447.96000000000004;0.03524868291811768;0.0;Esporádicos / Desertores
171;81;45;2567.72;0.2507750066206596;0.06809543096599319;Frecuentes Regulares
172;22;107;7869.09;0.2657333948398099;0.034042055688777224;Leales VIP / Crónicos
173;109;5;786.0;0.04946564885496184;0.011755725190839693;Esporádicos Recientes
174;279;2;122.66999999999999;0.0;0.0;Esporádicos Recientes
176;136;4;51.910000000000004;0.0;0.0;Esporádicos Recientes
177;592;16;1375.23;0.49348109043578164;0.11838019822138843;Esporádicos / Desertores
178;29;11;847.86;0.6216592361946548;0.0;Esporádicos Recientes
179;618;2;402.03;0.0;0.0;Esporádicos / Desertores
180;181;5;364.75;0.18122001370801918;0.0;Esporádicos Recientes
181;310;2;246.02;0.0;0.0;Esporádicos / Desertores
182;344;23;1300.17;0.5001576716890868;0.06639131805840774;Frecuentes Regulares
183;5;17;1186.0;0.5262225969645868;0.05039629005059022;Frecuentes Regulares
184;391;1;198.32;1.0;0.0;Cazadores de Ofertas
185;48;34;3044.02;0.13336311850776275;0.03390253677702512;Frecuentes Regulares
186;550;3;220.53;0.28771595701265135;0.0;Esporádicos / Desertores
187;25;6;292.27;0.6325999931570123;0.047182399835768295;Cazadores de Ofertas
188;401;3;222.87;1.0;0.0;Cazadores de Ofertas
189;77;5;180.13;0.7738300116582469;0.0;Cazadores de Ofertas
190;195;6;232.19;0.7014513975623412;0.0;Cazadores de Ofertas
191;24;27;1649.8700000000001;0.08178826210549921;0.11977913411359682;Frecuentes Regulares
192;271;2;81.01;0.6426367115170967;0.0;Cazadores de Ofertas
193;81;6;209.25000000000003;0.36243727598566305;0.0;Esporádicos Recientes
194;520;3;244.51;1.0;0.0;Cazadores de Ofertas
195;698;6;343.6;0.03984284051222351;0.09775902211874272;Esporádicos / Desertores
196;459;10;1154.03;0.5805654965642141;0.03478245799502613;Cazadores de Ofertas
198;274;2;84.2;1.0;0.0;Cazadores de Ofertas
199;1;6;124.18;0.0;0.2510871315831857;Esporádicos Recientes
200;57;2;35.31;0.0;1.0;En Riesgo (Solo Medicamentos)
201;652;9;536.63;0.5388815384902074;0.0901365931833852;Esporádicos / Desertores
202;153;17;1050.02;0.6283023180510847;0.06208453172320527;Cazadores de Ofertas
203;176;21;1554.44;0.8430045546949384;0.11000746249453179;Cazadores de Ofertas
204;145;4;152.57999999999998;0.3755406999606764;0.2228339231878359;Esporádicos Recientes
205;7;35;2351.81;0.5103643576649475;0.0651965932622108;Frecuentes Regulares
206;150;8;393.67;0.3517667081565779;0.02606243808265806;Esporádicos Recientes
207;242;3;309.34000000000003;0.0;0.2121937027219241;Esporádicos Recientes
208;528;1;23.83;0.0;1.0;En Riesgo (Solo Medicamentos)
209;8;23;1823.53;0.1547657565271753;0.07113126737701053;Frecuentes Regulares
210;11;7;264.63;0.07860030986660621;0.0;Esporádicos Recientes
211;511;4;437.34000000000003;0.20261124068230665;0.2739058855810125;Esporádicos / Desertores
212;13;25;1646.17;0.3381485508787063;0.06427039734656809;Frecuentes Regulares
213;558;2;110.89999999999999;0.0;0.0;Esporádicos / Desertores
214;169;11;661.04;0.5441274355560934;0.2660202105772722;Cazadores de Ofertas
215;87;7;285.4;0.04996496145760337;0.00795374912403644;Esporádicos Recientes
216;127;4;267.04;0.0;0.0;Esporádicos Recientes
218;66;6;725.01;0.6515496337981546;0.0;Cazadores de Ofertas
219;363;1;62.6;0.0;0.0;Esporádicos / Desertores
220;146;13;1552.06;0.0;0.0752097212736621;Esporádicos Recientes
221;612;6;554.93;0.2843962301551547;0.0;Esporádicos / Desertores
222;134;4;171.82999999999998;0.0;0.0;Esporádicos Recientes
223;163;4;472.41999999999996;0.0;0.042250539773929986;Esporádicos Recientes
224;60;3;179.63;0.03930301174636753;0.03930301174636753;Esporádicos Recientes
225;274;1;318.87;0.0;0.0;Esporádicos Recientes
226;28;7;901.6299999999999;0.03983895833102271;0.0;Esporádicos Recientes
227;496;5;218.92;0.09085510688836106;0.07317741640782022;Esporádicos / Desertores
228;14;54;5487.69;0.26766089192355985;0.051083424901916835;Leales VIP / Crónicos
229;14;4;315.75;0.0;0.0;Esporádicos Recientes
230;437;2;614.29;0.47270832994188416;0.0;Esporádicos / Desertores
231;315;2;913.51;0.011439393110091843;0.0;Esporádicos / Desertores
232;134;3;567.17;0.11305252393462277;0.03942380591357089;Esporádicos Recientes
233;17;29;2905.38;0.1749960418258541;0.017002939374539647;Frecuentes Regulares
234;658;26;1500.98;0.5999613585790616;0.04167943610174686;Esporádicos / Desertores
235;679;6;370.76;0.0;0.048845614413636856;Esporádicos / Desertores
236;17;39;3153.01;0.4360943986857003;0.04544229165146955;Frecuentes Regulares
237;525;3;222.62;1.0;0.031219117779175274;Cazadores de Ofertas
238;37;90;6166.75;0.5564568046377752;0.05481007013418738;Leales VIP / Crónicos
239;459;1;29.5;0.0;0.0;Esporádicos / Desertores
240;107;14;975.9100000000001;0.5799305263805064;0.07153323564672971;Frecuentes Regulares
241;66;8;410.92;0.3687335734449528;0.07548914630585028;Esporádicos Recientes
242;136;3;241.7;0.0;0.0;Esporádicos Recientes
243;15;83;5915.11;0.2587931585380492;0.09975300543861398;Leales VIP / Crónicos
244;9;20;1426.98;0.2728069068942802;0.09688292758132559;Frecuentes Regulares
246;446;2;102.99000000000001;0.9020293232352655;0.0;Cazadores de Ofertas
247;485;3;152.38;0.0;0.381414883843024;Esporádicos / Desertores
248;0;78;6749.17;0.3832900934485277;0.039425588627934986;Leales VIP / Crónicos
249;121;36;3908.06;0.48581393325588657;0.040777265446282816;Frecuentes Regulares
250;236;7;356.34999999999997;0.5159253542865161;0.0;Cazadores de Ofertas
251;2;5;260.88;0.0;0.0;Esporádicos Recientes
252;97;3;232.69;0.0;0.4955949976363402;En Riesgo (Solo Medicamentos)
253;40;1;9.48;1.0;0.0;Cazadores de Ofertas
254;1;21;942.27;0.38744733462807907;0.08907213431394399;Frecuentes Regulares
255;32;14;663.53;0.12525432158304825;0.07844407939354664;Esporádicos Recientes
256;541;7;473.25;0.0;0.01728473322768093;Esporádicos / Desertores
257;168;4;363.37;0.0;0.12466631807799212;Esporádicos Recientes
258;708;2;112.08;1.0;0.3283369022127052;Cazadores de Ofertas
259;543;3;146.67000000000002;0.0;0.11658825935774186;Esporádicos / Desertores
260;218;6;566.22;0.9076860584225214;0.2791847691709936;Cazadores de Ofertas
261;19;32;2374.9900000000002;0.20928509172670198;0.13386161625943688;Frecuentes Regulares
263;295;4;297.39;0.685160899828508;0.0;Cazadores de Ofertas
264;44;7;360.88;0.36591110618488143;0.04042895145200621;Esporádicos Recientes
265;80;6;307.79;0.0;0.12960135157087624;Esporádicos Recientes
266;66;8;608.92;0.2007981344018919;0.0;Esporádicos Recientes
267;523;1;86.17;0.0;0.0;Esporádicos / Desertores
268;96;5;398.5;0.7548557089084065;0.0;Cazadores de Ofertas
269;9;30;2376.44;0.48117772803016273;0.05774183232061403;Frecuentes Regulares
270;423;4;142.0;0.0;0.24830985915492956;Esporádicos / Desertores
272;80;4;121.82;0.7599737317353472;0.274995895583648;Cazadores de Ofertas
273;0;20;1224.04;0.3183801182967877;0.04066043593346622;Frecuentes Regulares
274;607;1;36.62;0.0;0.0;Esporádicos / Desertores
275;604;3;195.74;0.0;0.8231838152651476;En Riesgo (Solo Medicamentos)
276;385;3;83.04;0.6416184971098265;0.0;Cazadores de Ofertas
278;55;11;536.11;0.0932830948872433;0.0753949749118651;Esporádicos Recientes
279;365;4;510.93000000000006;0.8261797115064686;0.0;Cazadores de Ofertas
280;609;1;40.96;0.0;0.0;Esporádicos / Desertores
281;9;66;6449.46;0.21273563988302896;0.041018938019617146;Leales VIP / Crónicos
282;298;2;44.47;0.0;0.0;Esporádicos Recientes
283;367;38;3070.0499999999997;0.5527304115568151;0.02780410742496051;Frecuentes Regulares
285;704;2;44.85;1.0;0.0;Cazadores de Ofertas
286;108;3;521.34;0.5685924732420301;0.0;Cazadores de Ofertas
287;617;3;497.87;1.0;0.0;Cazadores de Ofertas
288;655;6;248.73000000000002;0.6802556989506694;0.2259076106621638;Cazadores de Ofertas
289;7;64;4812.06;0.1577141598400685;0.07366491689629805;Leales VIP / Crónicos
290;694;2;337.67;0.7881067314241715;0.0;Cazadores de Ofertas
291;148;5;599.79;0.09119858617182681;0.016922589573017226;Esporádicos Recientes
292;662;1;3.23;0.0;1.0;En Riesgo (Solo Medicamentos)
293;119;8;561.86;0.22525184209589574;0.21222368561563376;Esporádicos Recientes
294;529;9;1024.41;0.2879315898907664;0.06094239611093214;Esporádicos / Desertores
295;11;14;541.4300000000001;0.5194577323014978;0.08787839609921873;Esporádicos Recientes
296;204;5;277.1;0.7504150126308191;0.17744496571634788;Cazadores de Ofertas
297;370;3;337.71;0.9682567883687186;0.01655266352787895;Cazadores de Ofertas
298;365;10;1217.61;0.217672325292992;0.00859881242762461;Esporádicos / Desertores
299;23;39;2675.08;0.19434932787056836;0.0953878014863107;Frecuentes Regulares
301;369;3;232.49000000000007;1.0;0.0;Cazadores de Ofertas
302;7;2;130.95;0.0;0.0;Esporádicos Recientes
303;256;7;463.23999999999995;0.0;0.16371643208703915;Esporádicos Recientes
304;511;5;320.13;1.0;0.0;Cazadores de Ofertas
305;46;33;2841.44;0.31921490511853146;0.0540395010980348;Frecuentes Regulares
306;15;34;1947.43;0.20197901850130684;0.1123942837483247;Frecuentes Regulares
307;569;4;211.52;0.0;0.30796142208774585;Esporádicos / Desertores
308;118;14;937.22;0.320789142357184;0.0794050489746271;Esporádicos Recientes
309;9;15;688.46;0.7087412485837957;0.03486041309589519;Cazadores de Ofertas
310;1;13;836.17;0.6907447050240979;0.0681440376956839;Cazadores de Ofertas
311;199;1;19.22;0.0;0.0;Esporádicos Recientes
312;128;3;334.32;1.0;0.0;Cazadores de Ofertas
313;3;31;1844.43;0.16477177230906026;0.039312958474976005;Frecuentes Regulares
314;192;13;1047.54;0.3265269106668958;0.01955056608816847;Esporádicos Recientes
315;2;5;205.57;0.37558982341781394;0.45196283504402396;En Riesgo (Solo Medicamentos)
316;34;53;3149.91;0.2519945014301996;0.08394208088485067;Frecuentes Regulares
317;31;5;692.7999999999998;0.9275115473441108;0.015155889145496539;Cazadores de Ofertas
318;276;34;3240.48;0.49773798943366415;0.05148311361279811;Frecuentes Regulares
319;610;2;62.959999999999994;0.0;0.17439644218551464;Esporádicos / Desertores
320;390;2;41.379999999999995;1.0;0.0;Cazadores de Ofertas
321;16;28;2719.42;0.1389965507350832;0.04221856131086776;Frecuentes Regulares
322;82;26;1671.43;0.05166833190740863;0.023758099352051837;Frecuentes Regulares
323;170;8;561.5699999999999;0.0;0.0;Esporádicos Recientes
324;9;6;281.32;0.0;0.14353760841746055;Esporádicos Recientes
325;115;4;423.98;0.4042643520920797;0.0;Esporádicos Recientes
326;3;22;1526.99;0.19315778099398162;0.11182784432118088;Frecuentes Regulares
327;8;20;1152.82;0.6056713103520064;0.08494821394493504;Frecuentes Regulares
328;57;7;624.23;0.8950867468721465;0.15157874501385707;Cazadores de Ofertas
329;165;2;81.77000000000001;0.0;0.4022257551669316;Esporádicos Recientes
330;324;34;2338.17;0.49153825427577974;0.06331874927828174;Frecuentes Regulares
331;649;1;155.46;0.0;0.0;Esporádicos / Desertores
332;5;7;519.16;0.0;0.22582633484860162;Esporádicos Recientes
333;176;2;26.04;0.24078341013824883;0.0;Esporádicos Recientes
334;607;1;27.67;1.0;0.0;Cazadores de Ofertas
335;199;2;67.47999999999999;0.0;0.0;Esporádicos Recientes
336;21;1;39.9;0.0;1.0;En Riesgo (Solo Medicamentos)
337;5;81;3904.41;0.37605425659702746;0.1115610297074334;Leales VIP / Crónicos
338;26;3;745.3599999999999;0.2642213158742085;0.030374584093592363;Esporádicos Recientes
339;18;4;192.28;0.0;0.01518618681090077;Esporádicos Recientes
341;104;2;187.27;0.8668767020878945;0.0;Cazadores de Ofertas
342;72;8;997.17;0.06654833177893439;0.010419487148630625;Esporádicos Recientes
343;689;4;132.3;0.92010582010582;0.02169312169312169;Cazadores de Ofertas
344;15;29;2299.41;0.7210284377296785;0.10413540864830544;Frecuentes Regulares
345;702;2;92.32;1.0;0.0;Cazadores de Ofertas
346;221;4;209.31;0.6051311451913429;0.0;Cazadores de Ofertas
347;85;30;2229.82;0.27865029464261687;0.0733108502031554;Frecuentes Regulares
348;537;1;40.92;1.0;0.0;Cazadores de Ofertas
349;22;3;177.05;0.0;0.0;Esporádicos Recientes
350;535;6;159.98;0.39679959994999375;0.5020627578447305;En Riesgo (Solo Medicamentos)
351;4;67;4458.58;0.5469499257611168;0.08519977212475721;Leales VIP / Crónicos
352;126;7;398.75;0.8069467084639498;0.03433228840125392;Cazadores de Ofertas
353;446;3;457.60999999999996;0.9307488909770328;0.0;Cazadores de Ofertas
355;52;8;349.89;0.5307953928377489;0.08591271542484781;Esporádicos Recientes
356;586;2;226.92999999999995;1.0;0.0;Cazadores de Ofertas
357;232;3;389.94;0.9784069344001641;0.10142586038877775;Cazadores de Ofertas
358;316;87;6744.05;0.32293651440899757;0.06951460917401264;Leales VIP / Crónicos
359;85;15;1446.48;0.2576668878933688;0.012596095348708588;Frecuentes Regulares
360;2;54;3817.18;0.4332098564909174;0.09361622978219525;Frecuentes Regulares
361;53;2;151.72;0.7463749011336672;0.0;Cazadores de Ofertas
362;7;6;317.45;0.22271223814773983;0.0;Esporádicos Recientes
363;27;6;696.3;0.15962947005601036;0.0;Esporádicos Recientes
364;218;5;163.82;0.21621291661579783;0.06592601635941889;Esporádicos Recientes
365;207;9;661.38;0.6175118691221386;0.11525900390093442;Cazadores de Ofertas
366;608;1;111.38;1.0;0.0;Cazadores de Ofertas
367;206;4;73.52;0.18280739934711643;0.2359902067464636;Esporádicos Recientes
368;714;1;9.24;0.0;1.0;En Riesgo (Solo Medicamentos)
369;134;1;29.84;0.0;0.0;Esporádicos Recientes
371;72;1;18.7;1.0;0.0;Cazadores de Ofertas
372;74;4;121.95;0.4840508405084051;0.0;Esporádicos Recientes
373;164;1;121.81;0.0;0.0;Esporádicos Recientes
374;613;30;2408.5099999999998;0.4022777567873914;0.0518536356502568;Esporádicos / Desertores
375;16;2;181.07999999999998;0.0;0.0;Esporádicos Recientes
376;107;4;473.48;0.10133479766832813;0.0;Esporádicos Recientes
377;362;8;350.12;1.0;0.3812121558322861;Cazadores de Ofertas
378;60;18;1036.0;0.4800965250965251;0.0;Frecuentes Regulares
379;160;1;151.1;0.0;0.0;Esporádicos Recientes
380;6;57;4689.91;0.3404585589062477;0.0383418871577493;Leales VIP / Crónicos
381;601;19;1497.3899999999999;0.13283780444640342;0.001863242041151604;Esporádicos / Desertores
382;307;9;847.16;0.7438736484253271;0.0;Cazadores de Ofertas
383;33;88;6741.3;0.2861881239523534;0.03409283075964576;Leales VIP / Crónicos
384;57;9;707.77;0.7146671941449906;0.0;Cazadores de Ofertas
385;397;9;682.2;1.0;0.20662562298446202;Cazadores de Ofertas
386;531;3;171.10000000000002;0.0;0.2854471069549971;Esporádicos / Desertores
387;41;6;235.68;0.6592413441955194;0.2458418194161575;Cazadores de Ofertas
389;19;33;2729.83;0.3887897781180514;0.0898700651688933;Frecuentes Regulares
390;651;1;97.9;0.0;0.0;Esporádicos / Desertores
391;322;7;356.5;0.33904628330995795;0.015568022440392706;Esporádicos / Desertores
392;142;14;734.78;0.5137047823838429;0.012969868532077627;Esporádicos Recientes
393;97;30;2235.49;0.4188567159772578;0.024858084804673698;Frecuentes Regulares
394;83;5;154.5;0.2152750809061489;0.30983818770226534;Esporádicos Recientes
395;511;1;30.4;1.0;0.0;Cazadores de Ofertas
396;72;5;167.78;0.07092621289784241;0.4637024675169865;En Riesgo (Solo Medicamentos)
398;374;4;272.84000000000003;0.0;0.0;Esporádicos / Desertores
399;531;6;125.26;0.0;0.0;Esporádicos / Desertores
