id_cliente;churn_real;probabilidad_abandono;prediccion;nivel_riesgo
3546;1;0.12;0;Bajo
4125;0;0.02;0;Bajo
2748;0;0.035;0;Bajo
2586;1;0.55;1;Medio
654;0;0.0;0;Bajo
343;0;0.56;1;Medio
4387;0;0.155;0;Bajo
4182;0;0.0;0;Bajo
2603;0;0.085;0;Bajo
163;0;0.235;0;Bajo
1838;0;0.03;0;Bajo
4628;0;0.035;0;Bajo
2543;1;0.905;1;Alto
980;0;0.08;0;Bajo
863;1;0.17;0;Bajo
3095;0;0.01;0;Bajo
1140;0;0.315;0;Bajo
1874;0;0.155;0;Bajo
3741;0;0.075;0;Bajo
3734;0;0.21;0;Bajo
904;0;0.005;0;Bajo
3684;0;0.015;0;Bajo
3729;0;0.46;0;Medio
2659;0;0.515;1;Medio
1295;1;0.965;1;Alto
4144;0;0.515;1;Medio
2170;0;0.0;0;Bajo
517;0;0.005;0;Bajo
1601;0;0.035;0;Bajo
165;1;0.97;1;Alto
2624;0;0.28;0;Bajo
723;0;0.385;0;Medio
3813;1;0.52;1;Medio
4700;1;0.77;1;Alto
3400;0;0.05;0;Bajo
3937;0;0.365;0;Medio
3908;0;0.005;0;Bajo
2041;0;0.16;0;Bajo
2334;0;0.135;0;Bajo
3977;0;0.1;0;Bajo
4807;0;0.1;0;Bajo
2613;0;0.33;0;Bajo
3349;0;0.045;0;Bajo
2732;0;0.165;0;Bajo
3643;0;0.195;0;Bajo
3835;0;0.08;0;Bajo
4381;1;0.72;1;Alto
4782;0;0.0;0;Bajo
2440;0;0.005;0;Bajo
3439;0;0.335;0;Medio
2089;0;0.32;0;Bajo
834;0;0.02;0;Bajo
938;0;0.14;0;Bajo
1558;0;0.14;0;Bajo
4245;0;0.165;0;Bajo
3613;1;0.105;0;Bajo
4792;0;0.03;0;Bajo
4349;1;0.595;1;Medio
3751;1;0.46;0;Medio
3647;0;0.31;0;Bajo
4205;1;0.315;0;Bajo
3887;0;0.025;0;Bajo
3549;0;0.015;0;Bajo
1747;0;0.19;0;Bajo
728;0;0.01;0;Bajo
2653;0;0.01;0;Bajo
610;0;0.035;0;Bajo
1284;1;0.395;0;Medio
3107;0;0.065;0;Bajo
4601;0;0.665;1;Alto
3871;0;0.02;0;Bajo
3292;0;0.11;0;Bajo
4797;0;0.265;0;Bajo
3428;0;0.475;0;Medio
367;1;0.15;0;Bajo
4561;0;0.0;0;Bajo
506;0;0.09;0;Bajo
2183;0;0.235;0;Bajo
2736;0;0.07;0;Bajo
5;0;0.17;0;Bajo
1702;0;0.065;0;Bajo
1522;0;0.11;0;Bajo
3938;0;0.06;0;Bajo
4400;0;0.395;0;Medio
757;1;0.465;0;Medio
3064;1;0.61;1;Medio
2800;0;0.04;0;Bajo
1870;0;0.05;0;Bajo
2110;1;0.605;1;Medio
4189;0;0.02;0;Bajo
3085;0;0.005;0;Bajo
2330;0;0.255;0;Bajo
735;0;0.015;0;Bajo
702;0;0.02;0;Bajo
2633;0;0.05;0;Bajo
3916;0;0.145;0;Bajo
4576;1;0.34;0;Medio
1263;1;0.94;1;Alto
173;0;0.075;0;Bajo
488;1;0.465;0;Medio
3477;0;0.0;0;Bajo
999;0;0.0;0;Bajo
4510;0;0.12;0;Bajo
4193;0;0.025;0;Bajo
1809;1;0.46;0;Medio
3551;0;0.02;0;Bajo
2159;0;0.39;0;Medio
3431;0;0.42;0;Medio
3708;1;0.21;0;Bajo
531;1;0.5;0;Medio
218;0;0.035;0;Bajo
2358;0;0.245;0;Bajo
2206;1;0.36;0;Medio
2372;0;0.535;1;Medio
3553;1;0.32;0;Bajo
4547;0;0.02;0;Bajo
4350;1;0.685;1;Alto
1270;1;0.46;0;Medio
2721;1;0.77;1;Alto
1490;0;0.035;0;Bajo
177;1;0.755;1;Alto
727;0;0.085;0;Bajo
1358;0;0.025;0;Bajo
2462;0;0.095;0;Bajo
4098;0;0.175;0;Bajo
3747;0;0.01;0;Bajo
3229;0;0.04;0;Bajo
2585;0;0.01;0;Bajo
1475;0;0.01;0;Bajo
1531;0;0.13;0;Bajo
4282;0;0.125;0;Bajo
3323;0;0.005;0;Bajo
459;0;0.615;1;Medio
4222;0;0.115;0;Bajo
1952;0;0.45;0;Medio
321;0;0.01;0;Bajo
3486;0;0.015;0;Bajo
1431;0;0.5;0;Medio
2269;0;0.03;0;Bajo
4554;0;0.11;0;Bajo
680;0;0.0;0;Bajo
2421;0;0.02;0;Bajo
2096;0;0.005;0;Bajo
3782;0;0.72;1;Alto
2191;0;0.275;0;Bajo
4742;0;0.02;0;Bajo
4071;1;0.365;0;Medio
1930;0;0.035;0;Bajo
4172;0;0.295;0;Bajo
2413;0;0.01;0;Bajo
4716;0;0.15;0;Bajo
803;0;0.14;0;Bajo
4112;1;0.285;0;Bajo
4184;1;0.915;1;Alto
1935;0;0.23;0;Bajo
4759;0;0.115;0;Bajo
3932;0;0.015;0;Bajo
2934;0;0.56;1;Medio
2074;1;0.315;0;Bajo
2200;0;0.095;0;Bajo
2408;0;0.105;0;Bajo
3690;0;0.015;0;Bajo
741;0;0.01;0;Bajo
605;0;0.005;0;Bajo
1214;0;0.125;0;Bajo
315;0;0.005;0;Bajo
2677;0;0.005;0;Bajo
2279;0;0.115;0;Bajo
1599;0;0.46;0;Medio
3051;1;0.905;1;Alto
3567;0;0.055;0;Bajo
4357;0;0.02;0;Bajo
2373;0;0.015;0;Bajo
1434;0;0.675;1;Alto
2361;0;0.16;0;Bajo
1245;0;0.065;0;Bajo
347;0;0.05;0;Bajo
2933;0;0.0;0;Bajo
4937;0;0.455;0;Medio
4889;1;0.645;1;Medio
4137;0;0.405;0;Medio
2491;1;0.435;0;Medio
4729;1;0.16;0;Bajo
2629;0;0.255;0;Bajo
1237;0;0.045;0;Bajo
4095;0;0.5;0;Medio
4966;0;0.385;0;Medio
4556;0;0.01;0;Bajo
1893;0;0.09;0;Bajo
535;0;0.01;0;Bajo
4719;0;0.455;0;Medio
476;0;0.065;0;Bajo
3526;0;0.0;0;Bajo
2903;0;0.245;0;Bajo
318;1;0.89;1;Alto
4595;0;0.03;0;Bajo
4698;0;0.49;0;Medio
4720;0;0.08;0;Bajo
1304;0;0.015;0;Bajo
4306;0;0.015;0;Bajo
370;1;0.075;0;Bajo
2575;0;0.185;0;Bajo
126;0;0.105;0;Bajo
4006;1;0.63;1;Medio
1559;0;0.07;0;Bajo
3500;0;0.0;0;Bajo
3635;0;0.04;0;Bajo
4300;0;0.01;0;Bajo
587;1;0.365;0;Medio
3185;0;0.015;0;Bajo
1698;0;0.025;0;Bajo
993;0;0.06;0;Bajo
4817;0;0.01;0;Bajo
1689;1;0.3;0;Bajo
841;0;0.015;0;Bajo
1372;0;0.175;0;Bajo
4055;1;0.42;0;Medio
4070;1;0.525;1;Medio
1281;1;0.31;0;Bajo
4406;0;0.005;0;Bajo
3590;1;0.465;0;Medio
4351;0;0.015;0;Bajo
1608;0;0.05;0;Bajo
2149;0;0.02;0;Bajo
4021;0;0.005;0;Bajo
1470;0;0.05;0;Bajo
1427;0;0.0;0;Bajo
1732;0;0.0;0;Bajo
191;0;0.005;0;Bajo
1658;0;0.03;0;Bajo
2181;1;0.34;0;Medio
498;0;0.445;0;Medio
3682;0;0.0;0;Bajo
121;0;0.025;0;Bajo
4893;0;0.105;0;Bajo
3824;0;0.4;0;Medio
1988;0;0.005;0;Bajo
4677;0;0.58;1;Medio
899;1;0.36;0;Medio
2887;0;0.025;0;Bajo
3468;0;0.02;0;Bajo
475;0;0.115;0;Bajo
1066;0;0.035;0;Bajo
2126;0;0.1;0;Bajo
4302;0;0.16;0;Bajo
4372;1;0.08;0;Bajo
4625;0;0.09;0;Bajo
3584;0;0.035;0;Bajo
1340;0;0.085;0;Bajo
577;0;0.05;0;Bajo
3266;0;0.2;0;Bajo
842;0;0.35;0;Medio
2796;0;0.395;0;Medio
872;0;0.105;0;Bajo
248;0;0.04;0;Bajo
1290;0;0.005;0;Bajo
1019;0;0.135;0;Bajo
594;0;0.235;0;Bajo
4496;0;0.395;0;Medio
38;1;0.625;1;Medio
4688;0;0.085;0;Bajo
3395;0;0.015;0;Bajo
3949;0;0.015;0;Bajo
4319;0;0.12;0;Bajo
912;0;0.015;0;Bajo
1004;0;0.165;0;Bajo
3120;0;0.0;0;Bajo
3667;0;0.01;0;Bajo
651;0;0.095;0;Bajo
1455;0;0.2;0;Bajo
675;1;0.02;0;Bajo
3476;0;0.01;0;Bajo
607;1;0.325;0;Bajo
984;0;0.29;0;Bajo
4743;0;0.45;0;Medio
1049;0;0.015;0;Bajo
27;0;0.44;0;Medio
1629;0;0.01;0;Bajo
3919;0;0.68;1;Alto
4198;0;0.005;0;Bajo
3535;0;0.045;0;Bajo
4405;1;0.305;0;Bajo
1653;0;0.015;0;Bajo
2678;0;0.0;0;Bajo
2608;1;0.98;1;Alto
1833;0;0.035;0;Bajo
4766;0;0.12;0;Bajo
2470;0;0.03;0;Bajo
4464;0;0.025;0;Bajo
3740;0;0.01;0;Bajo
3200;0;0.01;0;Bajo
1585;0;0.3;0;Bajo
1467;0;0.045;0;Bajo
3231;0;0.04;0;Bajo
3094;0;0.32;0;Bajo
975;0;0.015;0;Bajo
4322;0;0.19;0;Bajo
1530;1;0.395;0;Medio
698;1;0.11;0;Bajo
2248;0;0.385;0;Medio
960;0;0.255;0;Bajo
4570;0;0.275;0;Bajo
2777;0;0.12;0;Bajo
3652;0;0.285;0;Bajo
2383;1;0.915;1;Alto
4808;0;0.03;0;Bajo
1243;1;0.09;0;Bajo
3157;0;0.105;0;Bajo
3606;0;0.01;0;Bajo
1875;1;0.04;0;Bajo
1889;0;0.01;0;Bajo
2384;0;0.025;0;Bajo
2080;1;0.5;0;Medio
1194;1;0.565;1;Medio
341;0;0.045;0;Bajo
3149;0;0.025;0;Bajo
1841;0;0.045;0;Bajo
24;0;0.26;0;Bajo
1215;0;0.515;1;Medio
988;0;0.375;0;Medio
1462;0;0.5;0;Medio
2973;0;0.47;0;Medio
1949;0;0.035;0;Bajo
49;1;0.59;1;Medio
4429;0;0.37;0;Medio
2284;0;0.04;0;Bajo
3469;0;0.175;0;Bajo
2345;1;0.305;0;Bajo
3630;1;0.65;1;Medio
1464;1;0.1;0;Bajo
2847;0;0.055;0;Bajo
3010;0;0.02;0;Bajo
2216;0;0.03;0;Bajo
1232;0;0.01;0;Bajo
4849;0;0.1;0;Bajo
1968;1;0.535;1;Medio
826;0;0.06;0;Bajo
1144;0;0.005;0;Bajo
2135;0;0.065;0;Bajo
4565;1;0.035;0;Bajo
4968;1;0.09;0;Bajo
113;0;0.27;0;Bajo
3884;0;0.32;0;Bajo
1269;0;0.06;0;Bajo
4404;0;0.0;0;Bajo
3769;0;0.335;0;Medio
2005;0;0.005;0;Bajo
2794;0;0.06;0;Bajo
2240;0;0.44;0;Medio
4354;0;0.665;1;Alto
2295;0;0.41;0;Medio
4906;0;0.035;0;Bajo
2426;0;0.02;0;Bajo
1184;1;0.695;1;Alto
4985;0;0.135;0;Bajo
1212;1;0.27;0;Bajo
3891;0;0.105;0;Bajo
1881;1;0.315;0;Bajo
1139;0;0.11;0;Bajo
3068;1;0.43;0;Medio
3956;0;0.01;0;Bajo
1367;1;0.015;0;Bajo
151;1;0.67;1;Alto
2128;0;0.01;0;Bajo
3759;0;0.02;0;Bajo
1955;0;0.4;0;Medio
3805;0;0.055;0;Bajo
4467;0;0.09;0;Bajo
4244;0;0.16;0;Bajo
3115;0;0.275;0;Bajo
507;0;0.0;0;Bajo
1682;1;0.215;0;Bajo
3203;0;0.015;0;Bajo
3893;0;0.015;0;Bajo
1456;0;0.015;0;Bajo
2843;1;0.115;0;Bajo
3602;0;0.025;0;Bajo
3457;0;0.075;0;Bajo
2968;0;0.15;0;Bajo
2884;0;0.0;0;Bajo
4036;0;0.54;1;Medio
2173;0;0.04;0;Bajo
4096;0;0.14;0;Bajo
4627;0;0.015;0;Bajo
934;0;0.29;0;Bajo
3305;0;0.01;0;Bajo
4578;0;0.025;0;Bajo
3992;0;0.01;0;Bajo
4454;0;0.02;0;Bajo
1494;0;0.33;0;Bajo
4785;0;0.05;0;Bajo
374;1;0.95;1;Alto
2068;0;0.015;0;Bajo
1911;0;0.04;0;Bajo
160;0;0.54;1;Medio
1218;0;0.415;0;Medio
3234;1;0.09;0;Bajo
3975;0;0.22;0;Bajo
1199;1;0.645;1;Medio
1182;0;0.07;0;Bajo
3220;1;0.53;1;Medio
2094;0;0.01;0;Bajo
4296;0;0.005;0;Bajo
644;0;0.035;0;Bajo
3873;0;0.83;1;Alto
1451;1;0.585;1;Medio
4898;0;0.53;1;Medio
2643;0;0.05;0;Bajo
4276;0;0.04;0;Bajo
1264;0;0.025;0;Bajo
309;0;0.02;0;Bajo
1369;0;0.185;0;Bajo
1095;0;0.01;0;Bajo
1574;1;0.32;0;Bajo
4202;0;0.27;0;Bajo
3532;0;0.04;0;Bajo
2505;0;0.03;0;Bajo
1380;0;0.24;0;Bajo
2817;1;0.485;0;Medio
1931;0;0.005;0;Bajo
2622;1;0.075;0;Bajo
3201;0;0.1;0;Bajo
455;0;0.07;0;Bajo
1141;0;0.0;0;Bajo
4994;0;0.01;0;Bajo
1508;0;0.03;0;Bajo
617;0;0.415;0;Medio
3114;0;0.015;0;Bajo
3810;0;0.01;0;Bajo
2154;0;0.04;0;Bajo
4005;0;0.055;0;Bajo
2804;0;0.015;0;Bajo
4895;0;0.105;0;Bajo
3531;0;0.27;0;Bajo
69;0;0.07;0;Bajo
1569;0;0.01;0;Bajo
913;0;0.05;0;Bajo
725;1;0.14;0;Bajo
633;0;0.105;0;Bajo
4102;0;0.07;0;Bajo
3487;0;0.02;0;Bajo
4711;0;0.02;0;Bajo
1323;0;0.01;0;Bajo
2752;0;0.0;0;Bajo
2850;1;0.05;0;Bajo
482;0;0.465;0;Medio
3161;0;0.015;0;Bajo
3001;0;0.115;0;Bajo
512;0;0.015;0;Bajo
3318;0;0.0;0;Bajo
4633;1;0.885;1;Alto
4894;1;0.94;1;Alto
4513;0;0.005;0;Bajo
4266;0;0.13;0;Bajo
1244;1;0.155;0;Bajo
3217;0;0.005;0;Bajo
19;1;0.17;0;Bajo
204;0;0.035;0;Bajo
2531;0;0.055;0;Bajo
4056;1;0.275;0;Bajo
1316;0;0.61;1;Medio
366;0;0.38;0;Medio
4531;0;0.075;0;Bajo
1119;0;0.01;0;Bajo
3196;0;0.47;0;Medio
951;0;0.05;0;Bajo
668;0;0.015;0;Bajo
59;0;0.025;0;Bajo
1249;0;0.02;0;Bajo
2549;0;0.175;0;Bajo
1283;1;0.905;1;Alto
456;0;0.04;0;Bajo
4615;0;0.0;0;Bajo
3620;0;0.015;0;Bajo
832;1;0.31;0;Bajo
1607;0;0.01;0;Bajo
805;0;0.02;0;Bajo
4121;1;0.51;1;Medio
4861;0;0.13;0;Bajo
263;0;0.345;0;Medio
2327;1;0.185;0;Bajo
1843;0;0.575;1;Medio
3474;0;0.005;0;Bajo
238;0;0.03;0;Bajo
4371;0;0.285;0;Bajo
2616;1;0.325;0;Bajo
4850;0;0.03;0;Bajo
2801;0;0.0;0;Bajo
4717;0;0.05;0;Bajo
137;0;0.285;0;Bajo
3212;0;0.01;0;Bajo
1444;0;0.005;0;Bajo
1665;0;0.04;0;Bajo
1804;0;0.005;0;Bajo
2471;0;0.04;0;Bajo
1651;1;0.195;0;Bajo
4310;0;0.345;0;Medio
2504;0;0.29;0;Bajo
3034;0;0.045;0;Bajo
2697;1;0.115;0;Bajo
862;0;0.03;0;Bajo
4961;0;0.01;0;Bajo
428;0;0.01;0;Bajo
1362;0;0.035;0;Bajo
521;1;0.025;0;Bajo
2116;1;0.6;1;Medio
4129;0;0.005;0;Bajo
1625;1;0.325;0;Bajo
1086;0;0.18;0;Bajo
3319;0;0.06;0;Bajo
974;1;0.075;0;Bajo
1643;1;0.545;1;Medio
3612;0;0.055;0;Bajo
897;0;0.135;0;Bajo
949;1;0.49;0;Medio
348;0;0.45;0;Medio
1694;0;0.015;0;Bajo
1440;0;0.305;0;Bajo
4624;0;0.01;0;Bajo
3153;0;0.635;1;Medio
4078;1;0.4;0;Medio
3371;0;0.025;0;Bajo
562;1;0.16;0;Bajo
868;1;0.33;0;Bajo
2078;0;0.26;0;Bajo
518;0;0.0;0;Bajo
4148;1;0.75;1;Alto
4777;0;0.03;0;Bajo
1016;1;0.49;0;Medio
4063;1;0.35;0;Medio
777;0;0.015;0;Bajo
3180;0;0.11;0;Bajo
4548;0;0.12;0;Bajo
2153;0;0.515;1;Medio
29;0;0.095;0;Bajo
3954;0;0.47;0;Medio
1178;0;0.49;0;Medio
2488;0;0.04;0;Bajo
3489;0;0.44;0;Medio
1306;0;0.02;0;Bajo
773;1;0.83;1;Alto
2781;0;0.035;0;Bajo
4867;0;0.035;0;Bajo
3322;0;0.025;0;Bajo
2733;0;0.01;0;Bajo
4004;0;0.33;0;Bajo
2648;1;0.37;0;Medio
693;0;0.005;0;Bajo
4113;0;0.0;0;Bajo
4784;0;0.02;0;Bajo
4027;0;0.015;0;Bajo
1505;1;0.515;1;Medio
578;1;0.85;1;Alto
987;0;0.605;1;Medio
2591;1;0.4;0;Medio
3263;1;0.34;0;Medio
2437;0;0.04;0;Bajo
787;1;0.41;0;Medio
876;0;0.31;0;Bajo
2019;0;0.01;0;Bajo
3928;0;0.04;0;Bajo
3814;0;0.03;0;Bajo
1951;1;0.495;0;Medio
1661;0;0.02;0;Bajo
3894;0;0.0;0;Bajo
3790;0;0.125;0;Bajo
2156;0;0.09;0;Bajo
1613;0;0.185;0;Bajo
554;0;0.175;0;Bajo
790;1;0.735;1;Alto
270;0;0.24;0;Bajo
1327;0;0.045;0;Bajo
3755;0;0.03;0;Bajo
2742;0;0.075;0;Bajo
4401;0;0.0;0;Bajo
662;0;0.025;0;Bajo
4919;0;0.175;0;Bajo
3036;0;0.095;0;Bajo
2214;0;0.195;0;Bajo
3815;0;0.065;0;Bajo
1443;0;0.32;0;Bajo
4502;0;0.02;0;Bajo
2252;1;0.73;1;Alto
4353;0;0.02;0;Bajo
4621;0;0.115;0;Bajo
1970;0;0.14;0;Bajo
574;0;0.24;0;Bajo
2366;0;0.29;0;Bajo
1102;0;0.06;0;Bajo
1216;0;0.295;0;Bajo
2700;1;0.105;0;Bajo
120;0;0.275;0;Bajo
1777;0;0.01;0;Bajo
2963;0;0.115;0;Bajo
1660;0;0.13;0;Bajo
2735;0;0.16;0;Bajo
2654;0;0.195;0;Bajo
379;0;0.02;0;Bajo
1296;1;0.355;0;Medio
4884;0;0.015;0;Bajo
2530;0;0.155;0;Bajo
2705;0;0.18;0;Bajo
4883;0;0.005;0;Bajo
284;0;0.055;0;Bajo
2925;0;0.105;0;Bajo
3563;0;0.155;0;Bajo
1832;0;0.045;0;Bajo
2598;0;0.12;0;Bajo
4959;0;0.65;1;Medio
2455;0;0.01;0;Bajo
2180;0;0.015;0;Bajo
4747;0;0.005;0;Bajo
265;0;0.01;0;Bajo
3955;0;0.235;0;Bajo
2905;1;0.955;1;Alto
1635;1;0.505;1;Medio
4019;0;0.0;0;Bajo
2889;1;0.16;0;Bajo
3027;0;0.045;0;Bajo
4600;1;0.495;0;Medio
3993;0;0.005;0;Bajo
965;0;0.0;0;Bajo
2683;0;0.0;0;Bajo
4818;0;0.015;0;Bajo
2013;1;0.575;1;Medio
4361;0;0.44;0;Medio
4723;1;0.855;1;Alto
156;0;0.34;0;Medio
4093;1;0.11;0;Bajo
1529;1;0.64;1;Medio
1718;0;0.005;0;Bajo
648;0;0.03;0;Bajo
3994;0;0.125;0;Bajo
1268;0;0.03;0;Bajo
130;0;0.16;0;Bajo
2952;0;0.02;0;Bajo
2763;0;0.19;0;Bajo
819;0;0.01;0;Bajo
4437;0;0.645;1;Medio
3946;0;0.0;0;Bajo
3678;0;0.01;0;Bajo
3688;0;0.005;0;Bajo
4855;0;0.015;0;Bajo
2258;1;0.77;1;Alto
2109;0;0.455;0;Medio
4370;0;0.02;0;Bajo
2809;0;0.02;0;Bajo
2669;0;0.375;0;Medio
4119;0;0.035;0;Bajo
884;1;0.305;0;Bajo
4955;0;0.52;1;Medio
54;0;0.005;0;Bajo
4156;0;0.31;0;Bajo
2560;0;0.375;0;Medio
2842;0;0.185;0;Bajo
4789;0;0.03;0;Bajo
902;0;0.005;0;Bajo
1477;0;0.05;0;Bajo
584;0;0.04;0;Bajo
2166;0;0.21;0;Bajo
713;0;0.0;0;Bajo
666;0;0.02;0;Bajo
4173;1;0.845;1;Alto
4751;1;0.54;1;Medio
3710;0;0.08;0;Bajo
3947;1;0.41;0;Medio
1959;0;0.02;0;Bajo
4863;1;0.09;0;Bajo
2823;0;0.125;0;Bajo
4868;0;0.375;0;Medio
2085;0;0.005;0;Bajo
4166;1;0.64;1;Medio
1120;0;0.02;0;Bajo
4563;0;0.095;0;Bajo
1619;0;0.005;0;Bajo
3031;0;0.29;0;Bajo
2179;0;0.025;0;Bajo
642;1;0.915;1;Alto
3204;0;0.005;0;Bajo
244;0;0.005;0;Bajo
296;0;0.08;0;Bajo
2759;0;0.04;0;Bajo
4388;0;0.27;0;Bajo
3921;1;0.575;1;Medio
1294;0;0.005;0;Bajo
744;0;0.055;0;Bajo
4773;0;0.085;0;Bajo
3176;1;0.065;0;Bajo
1977;0;0.075;0;Bajo
4706;1;0.975;1;Alto
3817;0;0.03;0;Bajo
3882;0;0.005;0;Bajo
4757;0;0.26;0;Bajo
1720;0;0.07;0;Bajo
4278;1;0.535;1;Medio
407;0;0.01;0;Bajo
324;0;0.0;0;Bajo
4044;0;0.22;0;Bajo
1860;0;0.025;0;Bajo
1121;0;0.025;0;Bajo
4085;0;0.0;0;Bajo
3985;0;0.1;0;Bajo
2551;0;0.07;0;Bajo
1018;0;0.005;0;Bajo
159;1;0.305;0;Bajo
2939;0;0.005;0;Bajo
57;0;0.22;0;Bajo
779;0;0.645;1;Medio
4935;0;0.01;0;Bajo
4799;0;0.4;0;Medio
1947;1;0.5;0;Medio
1885;0;0.015;0;Bajo
2150;0;0.02;0;Bajo
4980;0;0.18;0;Bajo
2264;1;0.94;1;Alto
2874;0;0.02;0;Bajo
264;0;0.005;0;Bajo
2501;0;0.025;0;Bajo
1109;0;0.3;0;Bajo
4617;0;0.005;0;Bajo
3298;0;0.305;0;Bajo
1880;1;0.605;1;Medio
3699;0;0.075;0;Bajo
4664;0;0.21;0;Bajo
2687;0;0.01;0;Bajo
2282;0;0.02;0;Bajo
603;1;0.905;1;Alto
4356;0;0.595;1;Medio
2811;0;0.08;0;Bajo
381;1;0.91;1;Alto
2946;0;0.03;0;Bajo
1275;1;0.775;1;Alto
2554;0;0.495;0;Medio
2145;0;0.405;0;Medio
2902;0;0.01;0;Bajo
4838;0;0.005;0;Bajo
2646;0;0.145;0;Bajo
298;0;0.59;1;Medio
1123;0;0.0;0;Bajo
977;0;0.035;0;Bajo
2517;1;0.6;1;Medio
9;1;0.695;1;Alto
3038;0;0.03;0;Bajo
4312;0;0.015;0;Bajo
2300;0;0.105;0;Bajo
849;0;0.205;0;Bajo
471;0;0.21;0;Bajo
1279;1;0.25;0;Bajo
2333;0;0.01;0;Bajo
3743;0;0.115;0;Bajo
1506;1;0.565;1;Medio
4132;0;0.03;0;Bajo
3466;0;0.165;0;Bajo
4423;0;0.035;0;Bajo
89;0;0.055;0;Bajo
423;0;0.02;0;Bajo
2982;0;0.48;0;Medio
