Antecedente;Consecuente;Soporte Antecedente;Soporte Consecuente;Soporte Regla;Confianza;Lift
Azitromicina 500Mg;Vitamina C 1000Mg;0.08334620016675416;0.009017076861316123;0.001327857209029429;0.01593182660244535;1.7668504824211908
Magnesio Quelado;Paracetamol 500Mg;0.07315566809745855;0.01815767532347219;0.002346910415958991;0.03208104685521317;1.7668036399870208
Paracetamol 500Mg;Magnesio Quelado;0.01815767532347219;0.07315566809745855;0.002346910415958991;0.1292517006802721;1.7668036399870204
Gel De Ducha Aloe Vera;Pañales Talla G X26;0.018898804928511873;0.037921131457863695;0.0012660964086094555;0.06699346405228758;1.7666525622192415
Pañales Talla G X26;Gel De Ducha Aloe Vera;0.037921131457863695;0.018898804928511873;0.0012660964086094555;0.03338762214983713;1.7666525622192413
Loción Corporal Hidratante;Talco Corporal;0.030973041410616683;0.03285674582342587;0.0017910632121792298;0.05782652043868394;1.7599588452687052
Talco Corporal;Loción Corporal Hidratante;0.03285674582342587;0.030973041410616683;0.0017910632121792298;0.054511278195488726;1.7599588452687052
Enalapril 10Mg;Pulsioxímetro Digital;0.008461229657536361;0.07717012012475681;0.0011425748077695088;0.135036496350365;1.749854686400108
Pulsioxímetro Digital;Enalapril 10Mg;0.07717012012475681;0.008461229657536361;0.0011425748077695088;0.014805922368947582;1.7498546864001079
Crema Antipañalitis;Toallas Higienicas Nocturnas;0.037704968656393785;0.018898804928511873;0.0012352160083994688;0.03276003276003276;1.7334446746211452
Toallas Higienicas Nocturnas;Crema Antipañalitis;0.018898804928511873;0.037704968656393785;0.0012352160083994688;0.065359477124183;1.733444674621145
Tampones Regular;Toallitas Húmedas X80;0.03776672945681376;0.027051230583948368;0.001760182811969243;0.04660670482420278;1.7229051624682177
Toallitas Húmedas X80;Tampones Regular;0.027051230583948368;0.03776672945681376;0.001760182811969243;0.06506849315068493;1.7229051624682175
Toallitas Húmedas X80;Cepillo Dental Suave;0.027051230583948368;0.027174752184788317;0.0012660964086094555;0.04680365296803653;1.7223212432544623
Cepillo Dental Suave;Toallitas Húmedas X80;0.027174752184788317;0.027051230583948368;0.0012660964086094555;0.046590909090909086;1.7223212432544623
Fórmula Infantil Etapa 2;Pasta Dental Triple Acción;0.03798289225828367;0.0223265293518204;0.001451378809869376;0.038211382113821135;1.7114788201823925
Pasta Dental Triple Acción;Fórmula Infantil Etapa 2;0.0223265293518204;0.03798289225828367;0.001451378809869376;0.06500691562932226;1.7114788201823923
Desodorante Roll-On;Crema Antipañalitis;0.03591390544421456;0.037704968656393785;0.0023160300157490043;0.0644883920894239;1.7103420155870717
Crema Antipañalitis;Desodorante Roll-On;0.037704968656393785;0.03591390544421456;0.0023160300157490043;0.061425061425061434;1.7103420155870717
Tampones Regular;Protector Solar Spf50;0.03776672945681376;0.01676805731402279;0.0010808140073495353;0.028618152085036798;1.7067064806072683
Protector Solar Spf50;Tampones Regular;0.01676805731402279;0.03776672945681376;0.0010808140073495353;0.06445672191528545;1.706706480607268
Crema Antipañalitis;Tampones Regular;0.037704968656393785;0.03776672945681376;0.0024086712163789645;0.0638820638820639;1.6914904944340763
Tampones Regular;Crema Antipañalitis;0.03776672945681376;0.037704968656393785;0.0024086712163789645;0.06377759607522486;1.691490494434076
Pasta Dental Triple Acción;Crema Antipañalitis;0.0223265293518204;0.037704968656393785;0.0014204984096593892;0.0636237897648686;1.68741128907104
Crema Antipañalitis;Pasta Dental Triple Acción;0.037704968656393785;0.0223265293518204;0.0014204984096593892;0.03767403767403767;1.68741128907104
Complejo B;Azitromicina 500Mg;0.010344934070345552;0.08334620016675416;0.001451378809869376;0.14029850746268654;1.6833221812390435
Azitromicina 500Mg;Complejo B;0.08334620016675416;0.010344934070345552;0.001451378809869376;0.017413856984068173;1.6833221812390435
Omeprazol 20Mg;Omega 3 1000Mg;0.035821264243584595;0.026155698977858754;0.0015749004107093228;0.043965517241379315;1.680915401213207
Omega 3 1000Mg;Omeprazol 20Mg;0.026155698977858754;0.035821264243584595;0.0015749004107093228;0.0602125147579693;1.6809154012132068
Glucómetro Digital;Ácido Acetilsalicílico 100Mg;0.030818639409566747;0.03461692863539512;0.0017910632121792298;0.05811623246492986;1.6788384976911896
Ácido Acetilsalicílico 100Mg;Glucómetro Digital;0.03461692863539512;0.030818639409566747;0.0017910632121792298;0.051739518287243526;1.6788384976911894
Serum Vitamina C;Jabón En Barra Glicerina;0.029923107803477133;0.049192477534508845;0.0024704320167989375;0.0825593395252838;1.6782919597283523
Jabón En Barra Glicerina;Serum Vitamina C;0.049192477534508845;0.029923107803477133;0.0024704320167989375;0.050219711236660386;1.678291959728352
Clorfenamina 4Mg;Tensiómetro Digital De Brazo;0.03260970262174598;0.056572893184695675;0.003088040020998672;0.0946969696969697;1.6738929965594813
Tensiómetro Digital De Brazo;Clorfenamina 4Mg;0.056572893184695675;0.03260970262174598;0.003088040020998672;0.05458515283842795;1.6738929965594813
Toallas Higiénicas Nocturnas;Pañales Talla G X26;0.023407343359169934;0.037921131457863695;0.0014822592100793626;0.0633245382585752;1.66990107689531
Pañales Talla G X26;Toallas Higiénicas Nocturnas;0.037921131457863695;0.023407343359169934;0.0014822592100793626;0.03908794788273615;1.66990107689531
Omeprazol 20Mg;Termómetro Digital;0.035821264243584595;0.04662940431707995;0.002779236018898805;0.07758620689655173;1.6638901575702214
Termómetro Digital;Omeprazol 20Mg;0.04662940431707995;0.035821264243584595;0.002779236018898805;0.05960264900662251;1.6638901575702214
Limpiador Facial Espumoso;Toallas Higiénicas Nocturnas;0.031806812216286326;0.023407343359169934;0.0012352160083994688;0.038834951456310676;1.6590926556856316
Toallas Higiénicas Nocturnas;Limpiador Facial Espumoso;0.023407343359169934;0.031806812216286326;0.0012352160083994688;0.05277044854881266;1.6590926556856314
Enjuague Bucal Menta;Serum Vitamina C;0.02241917055245036;0.029923107803477133;0.001111694407559522;0.04958677685950414;1.6571399329631813
Serum Vitamina C;Enjuague Bucal Menta;0.029923107803477133;0.02241917055245036;0.001111694407559522;0.03715170278637771;1.657139932963181
Toallitas Húmedas X80;Desodorante Roll-On;0.027051230583948368;0.03591390544421456;0.0016057808109193096;0.05936073059360731;1.652862028213917
Desodorante Roll-On;Toallitas Húmedas X80;0.03591390544421456;0.027051230583948368;0.0016057808109193096;0.04471195184866724;1.652862028213917
Losartán 50Mg;Glucómetro Digital;0.021832442948460613;0.030818639409566747;0.001111694407559522;0.05091937765205092;1.6522266598260171
Glucómetro Digital;Losartán 50Mg;0.030818639409566747;0.021832442948460613;0.001111694407559522;0.036072144288577156;1.652226659826017
Zinc 50Mg;Azitromicina 500Mg;0.013680017293024118;0.08334620016675416;0.00188370441280919;0.13769751693002258;1.6521151132808156
Azitromicina 500Mg;Zinc 50Mg;0.08334620016675416;0.013680017293024118;0.00188370441280919;0.022600963319748056;1.6521151132808156
Enjuague Bucal Menta;Aceite Corporal Para Bebé;0.02241917055245036;0.047771979124849456;0.001760182811969243;0.07851239669421488;1.643482186262935
Aceite Corporal Para Bebé;Enjuague Bucal Menta;0.047771979124849456;0.02241917055245036;0.001760182811969243;0.03684550743374273;1.643482186262935
Desodorante Roll-On;Pañales Talla G X26;0.03591390544421456;0.037921131457863695;0.002223388815119044;0.06190885640584695;1.6325688086242196
Pañales Talla G X26;Desodorante Roll-On;0.037921131457863695;0.03591390544421456;0.002223388815119044;0.05863192182410423;1.6325688086242196
Dextrometorfano Jarabe;Tensiómetro Digital De Brazo;0.019639934533551555;0.056572893184695675;0.0017910632121792298;0.09119496855345911;1.6119905385735078
Tensiómetro Digital De Brazo;Dextrometorfano Jarabe;0.056572893184695675;0.019639934533551555;0.0017910632121792298;0.03165938864628821;1.6119905385735078
Nebulizador Portátil;Ácido Acetilsalicílico 100Mg;0.023345582558749963;0.03461692863539512;0.0012969768088194422;0.055555555555555546;1.6048666864902366
Ácido Acetilsalicílico 100Mg;Nebulizador Portátil;0.03461692863539512;0.023345582558749963;0.0012969768088194422;0.03746654772524531;1.6048666864902366
Contorno De Ojos;Tampones Regular;0.01988697773523145;0.03776672945681376;0.0012043356081894822;0.06055900621118013;1.603501470267086
Tampones Regular;Contorno De Ojos;0.03776672945681376;0.01988697773523145;0.0012043356081894822;0.03188879803761243;1.6035014702670858
Fórmula Infantil Etapa 2;Jabón En Barra Glicerina;0.03798289225828367;0.049192477534508845;0.002995398820368712;0.07886178861788617;1.6031269936051527
Jabón En Barra Glicerina;Fórmula Infantil Etapa 2;0.049192477534508845;0.03798289225828367;0.002995398820368712;0.060891399874450726;1.6031269936051527
Clorfenamina 4Mg;Termómetro Digital;0.03260970262174598;0.04662940431707995;0.0024086712163789645;0.07386363636363637;1.5840570439494281
Termómetro Digital;Clorfenamina 4Mg;0.04662940431707995;0.03260970262174598;0.0024086712163789645;0.05165562913907285;1.5840570439494281
Crema Antipañalitis;Jabón En Barra Glicerina;0.037704968656393785;0.049192477534508845;0.0029336380199487385;0.07780507780507781;1.5816458471825705
Jabón En Barra Glicerina;Crema Antipañalitis;0.049192477534508845;0.037704968656393785;0.0029336380199487385;0.05963590709353422;1.5816458471825705
Limpiador Facial Espumoso;Jabón En Barra Glicerina;0.031806812216286326;0.049192477534508845;0.0024704320167989375;0.07766990291262135;1.5788979698803625
Jabón En Barra Glicerina;Limpiador Facial Espumoso;0.049192477534508845;0.031806812216286326;0.0024704320167989375;0.050219711236660386;1.5788979698803622
Pasta Dental Triple Acción;Limpiador Facial Espumoso;0.0223265293518204;0.031806812216286326;0.001111694407559522;0.049792531120331954;1.5654675099705917
Limpiador Facial Espumoso;Pasta Dental Triple Acción;0.031806812216286326;0.0223265293518204;0.001111694407559522;0.03495145631067961;1.5654675099705917
Nebulizador Portátil;Omeprazol 20Mg;0.023345582558749963;0.035821264243584595;0.0012969768088194422;0.055555555555555546;1.5509099616858235
Omeprazol 20Mg;Nebulizador Portátil;0.035821264243584595;0.023345582558749963;0.0012969768088194422;0.036206896551724134;1.5509099616858235
Losartán 50Mg;Tensiómetro Digital De Brazo;0.021832442948460613;0.056572893184695675;0.0019145848130191767;0.0876944837340877;1.550114883603145
Tensiómetro Digital De Brazo;Losartán 50Mg;0.056572893184695675;0.021832442948460613;0.0019145848130191767;0.03384279475982533;1.550114883603145
Tiras Reactivas De Glucosa;Azitromicina 500Mg;0.02374702776147979;0.08334620016675416;0.0030571596207886855;0.12873862158647595;1.544624965852112
Azitromicina 500Mg;Tiras Reactivas De Glucosa;0.08334620016675416;0.02374702776147979;0.0030571596207886855;0.036680251945164874;1.5446249658521118
Protector Solar Spf50;Jabón En Barra Glicerina;0.01676805731402279;0.049192477534508845;0.0012660964086094555;0.07550644567219152;1.5349185374780778
Jabón En Barra Glicerina;Protector Solar Spf50;0.049192477534508845;0.01676805731402279;0.0012660964086094555;0.025737602008788447;1.5349185374780778
Pasta Dental Triple Acción;Aceite Corporal Para Bebé;0.0223265293518204;0.047771979124849456;0.0016366612111292963;0.07330567081604426;1.5344909748131619
Aceite Corporal Para Bebé;Pasta Dental Triple Acción;0.047771979124849456;0.0223265293518204;0.0016366612111292963;0.03425985778926956;1.5344909748131619
Acondicionador Reparador;Jabón En Barra Glicerina;0.02016490133712133;0.049192477534508845;0.0015131396102893494;0.07503828483920368;1.5254016182975096
Jabón En Barra Glicerina;Acondicionador Reparador;0.049192477534508845;0.02016490133712133;0.0015131396102893494;0.03075957313245449;1.5254016182975094
Gel De Ducha Aloe Vera;Crema Antipañalitis;0.018898804928511873;0.037704968656393785;0.0010808140073495353;0.057189542483660136;1.5167640902935022
Crema Antipañalitis;Gel De Ducha Aloe Vera;0.037704968656393785;0.018898804928511873;0.0010808140073495353;0.028665028665028666;1.5167640902935022
Limpiador Facial Espumoso;Tampones Regular;0.031806812216286326;0.03776672945681376;0.0018219436123892165;0.057281553398058245;1.5167199866633854
Tampones Regular;Limpiador Facial Espumoso;0.03776672945681376;0.031806812216286326;0.0018219436123892165;0.0482420278004906;1.5167199866633854
Azitromicina 500Mg;Omega 3 1000Mg;0.08334620016675416;0.026155698977858754;0.0033042028224685794;0.039644312708410526;1.5157045790276955
Omega 3 1000Mg;Azitromicina 500Mg;0.026155698977858754;0.08334620016675416;0.0033042028224685794;0.12632821723730814;1.5157045790276953
Limpiador Facial Espumoso;Desodorante Roll-On;0.031806812216286326;0.03591390544421456;0.0017293024117592563;0.054368932038834944;1.5138685522042923
Desodorante Roll-On;Limpiador Facial Espumoso;0.03591390544421456;0.031806812216286326;0.0017293024117592563;0.04815133276010318;1.5138685522042923
Enjuague Bucal Menta;Loción Corporal Hidratante;0.02241917055245036;0.030973041410616683;0.0010499336071395486;0.046831955922865015;1.5120231591726199
Loción Corporal Hidratante;Enjuague Bucal Menta;0.030973041410616683;0.02241917055245036;0.0010499336071395486;0.03389830508474576;1.5120231591726199
Glucómetro Digital;Omeprazol 20Mg;0.030818639409566747;0.035821264243584595;0.001667541611339283;0.05410821643286574;1.510505493746113
Omeprazol 20Mg;Glucómetro Digital;0.035821264243584595;0.030818639409566747;0.001667541611339283;0.04655172413793104;1.510505493746113
Cetirizina 10Mg;Termómetro Digital;0.016243090510453015;0.04662940431707995;0.0011425748077695088;0.07034220532319392;1.5085375066099262
Termómetro Digital;Cetirizina 10Mg;0.04662940431707995;0.016243090510453015;0.0011425748077695088;0.024503311258278145;1.5085375066099262
Pañales Talla G X26;Jabón En Barra Glicerina;0.037921131457863695;0.049192477534508845;0.0028101164191087916;0.07410423452768729;1.5064139527370355
Jabón En Barra Glicerina;Pañales Talla G X26;0.049192477534508845;0.037921131457863695;0.0028101164191087916;0.05712492153170119;1.5064139527370355
Formula Infantil Etapa 2;Jabón En Barra Glicerina;0.01460642929932372;0.049192477534508845;0.0010808140073495353;0.07399577167019028;1.5042090859986013
Jabón En Barra Glicerina;Formula Infantil Etapa 2;0.049192477534508845;0.01460642929932372;0.0010808140073495353;0.02197112366603892;1.5042090859986013
Jabón En Barra Glicerina;Loción Corporal Hidratante;0.049192477534508845;0.030973041410616683;0.0022851496155390175;0.046453232893910866;1.4997956538419897
Loción Corporal Hidratante;Jabón En Barra Glicerina;0.030973041410616683;0.049192477534508845;0.0022851496155390175;0.07377866400797607;1.4997956538419894
Colágeno Hidrolizado;Clorfenamina 4Mg;0.034771330636445046;0.03260970262174598;0.0016984220115492698;0.048845470692717594;1.497881512729426
Clorfenamina 4Mg;Colágeno Hidrolizado;0.03260970262174598;0.034771330636445046;0.0016984220115492698;0.052083333333333336;1.4978815127294258
Toallas Higiénicas Nocturnas;Fórmula Infantil Etapa 2;0.023407343359169934;0.03798289225828367;0.001327857209029429;0.05672823218997362;1.4935206040714761
Fórmula Infantil Etapa 2;Toallas Higiénicas Nocturnas;0.03798289225828367;0.023407343359169934;0.001327857209029429;0.034959349593495934;1.4935206040714761
Acondicionador Reparador;Desodorante Roll-On;0.02016490133712133;0.03591390544421456;0.0010808140073495353;0.05359877488514548;1.4924240129885349
Desodorante Roll-On;Acondicionador Reparador;0.03591390544421456;0.02016490133712133;0.0010808140073495353;0.03009458297506449;1.4924240129885349
Toallas Higiénicas Nocturnas;Aceite Corporal Para Bebé;0.023407343359169934;0.047771979124849456;0.001667541611339283;0.0712401055408971;1.491252965566174
Aceite Corporal Para Bebé;Toallas Higiénicas Nocturnas;0.047771979124849456;0.023407343359169934;0.001667541611339283;0.03490627020038785;1.4912529655661737
Talco Corporal;Pañales Talla G X26;0.03285674582342587;0.037921131457863695;0.0018528240125992032;0.056390977443609026;1.4870594646224682
Pañales Talla G X26;Talco Corporal;0.037921131457863695;0.03285674582342587;0.0018528240125992032;0.04885993485342019;1.4870594646224682
Losartán 50Mg;Pulsioxímetro Digital;0.021832442948460613;0.07717012012475681;0.0025013124170089242;0.11456859971711456;1.4846238353898844
Pulsioxímetro Digital;Losartán 50Mg;0.07717012012475681;0.021832442948460613;0.0025013124170089242;0.03241296518607443;1.4846238353898842
Jabón En Barra Glicerina;Contorno De Ojos;0.049192477534508845;0.01988697773523145;0.001451378809869376;0.02950408035153798;1.48358794103083
Contorno De Ojos;Jabón En Barra Glicerina;0.01988697773523145;0.049192477534508845;0.001451378809869376;0.07298136645962733;1.4835879410308297
Dextrometorfano Jarabe;Magnesio Quelado;0.019639934533551555;0.07315566809745855;0.002130747614489084;0.10849056603773585;1.483009708737864
Magnesio Quelado;Dextrometorfano Jarabe;0.07315566809745855;0.019639934533551555;0.002130747614489084;0.029126213592233007;1.483009708737864
Serum Vitamina C;Talco Corporal;0.029923107803477133;0.03285674582342587;0.001451378809869376;0.048503611971104234;1.4762147241167938
Talco Corporal;Serum Vitamina C;0.03285674582342587;0.029923107803477133;0.001451378809869376;0.04417293233082707;1.4762147241167938
Tampones Regular;Pañales Talla G X26;0.03776672945681376;0.037921131457863695;0.002099867214279097;0.05560098119378577;1.4662268517901993
Pañales Talla G X26;Tampones Regular;0.037921131457863695;0.03776672945681376;0.002099867214279097;0.05537459283387622;1.4662268517901993
Cepillo Dental Suave;Limpiador Facial Espumoso;0.027174752184788317;0.031806812216286326;0.0012660964086094555;0.046590909090909086;1.4648091350397172
Limpiador Facial Espumoso;Cepillo Dental Suave;0.031806812216286326;0.027174752184788317;0.0012660964086094555;0.03980582524271844;1.4648091350397172
Aceite Corporal Para Bebé;Jabón En Barra Glicerina;0.047771979124849456;0.049192477534508845;0.003427724423308526;0.07175177763413057;1.458592476538638
Jabón En Barra Glicerina;Aceite Corporal Para Bebé;0.049192477534508845;0.047771979124849456;0.003427724423308526;0.06967984934086628;1.458592476538638
Talco Corporal;Aceite Corporal Para Bebé;0.03285674582342587;0.047771979124849456;0.0022851496155390175;0.06954887218045114;1.4558507613571747
Aceite Corporal Para Bebé;Talco Corporal;0.047771979124849456;0.03285674582342587;0.0022851496155390175;0.04783451842275372;1.4558507613571747
Shampoo Para Bebé;Jabón En Barra Glicerina;0.014235864496803878;0.049192477534508845;0.0010190532069295618;0.07158351409978309;1.4551719630215165
Jabón En Barra Glicerina;Shampoo Para Bebé;0.049192477534508845;0.014235864496803878;0.0010190532069295618;0.02071563088512241;1.4551719630215163
Omega 3 1000Mg;Clorfenamina 4Mg;0.026155698977858754;0.03260970262174598;0.0012352160083994688;0.04722550177095631;1.448203999856892
Clorfenamina 4Mg;Omega 3 1000Mg;0.03260970262174598;0.026155698977858754;0.0012352160083994688;0.03787878787878787;1.448203999856892
Omeprazol 20Mg;Pulsioxímetro Digital;0.035821264243584595;0.07717012012475681;0.003983571627088287;0.11120689655172414;1.4410615970526142
Pulsioxímetro Digital;Omeprazol 20Mg;0.07717012012475681;0.035821264243584595;0.003983571627088287;0.05162064825930372;1.4410615970526142
Pulsioxímetro Digital;Ácido Acetilsalicílico 100Mg;0.07717012012475681;0.03461692863539512;0.0038291696260383534;0.049619847939175676;1.433398337033297
Ácido Acetilsalicílico 100Mg;Pulsioxímetro Digital;0.03461692863539512;0.07717012012475681;0.0038291696260383534;0.11061552185548616;1.4333983370332968
Paracetamol 500Mg;Pulsioxímetro Digital;0.01815767532347219;0.07717012012475681;0.002007226013649137;0.11054421768707484;1.4324743502843318
Pulsioxímetro Digital;Paracetamol 500Mg;0.07717012012475681;0.01815767532347219;0.002007226013649137;0.02601040416166467;1.4324743502843316
Termómetro Digital;Salbutamol Inhalador;0.04662940431707995;0.0158107649075132;0.0010499336071395486;0.022516556291390728;1.424128207781457
Salbutamol Inhalador;Termómetro Digital;0.0158107649075132;0.04662940431707995;0.0010499336071395486;0.06640625;1.4241282077814568
Desodorante Roll-On;Aceite Corporal Para Bebé;0.03591390544421456;0.047771979124849456;0.0024395516165889508;0.06792777300085984;1.421916660043209
Aceite Corporal Para Bebé;Desodorante Roll-On;0.047771979124849456;0.03591390544421456;0.0024395516165889508;0.05106658047834518;1.421916660043209
Cepillo Dental Suave;Crema Antipañalitis;0.027174752184788317;0.037704968656393785;0.001451378809869376;0.053409090909090906;1.41650007445462
Crema Antipañalitis;Cepillo Dental Suave;0.037704968656393785;0.027174752184788317;0.001451378809869376;0.03849303849303849;1.41650007445462
Tiras Reactivas De Glucosa;Omeprazol 20Mg;0.02374702776147979;0.035821264243584595;0.0012043356081894822;0.05071521456436932;1.4157851665844583
Omeprazol 20Mg;Tiras Reactivas De Glucosa;0.035821264243584595;0.02374702776147979;0.0012043356081894822;0.03362068965517242;1.4157851665844583
Magnesio Quelado;Salbutamol Inhalador;0.07315566809745855;0.0158107649075132;0.0016366612111292963;0.0223723089911355;1.4150048477733221
Salbutamol Inhalador;Magnesio Quelado;0.0158107649075132;0.07315566809745855;0.0016366612111292963;0.103515625;1.415004847773322
Losartán 50Mg;Magnesio Quelado;0.021832442948460613;0.07315566809745855;0.002254269215329031;0.10325318246110325;1.4114173945284536
Magnesio Quelado;Losartán 50Mg;0.07315566809745855;0.021832442948460613;0.002254269215329031;0.030814689742507388;1.4114173945284536
Proteína Whey Vainilla;Azitromicina 500Mg;0.017107741716332645;0.08334620016675416;0.002007226013649137;0.11732851985559566;1.4077248827283269
Azitromicina 500Mg;Proteína Whey Vainilla;0.08334620016675416;0.017107741716332645;0.002007226013649137;0.02408299370137088;1.4077248827283269
Pulsioxímetro Digital;Dextrometorfano Jarabe;0.07717012012475681;0.019639934533551555;0.002130747614489084;0.02761104441776711;1.4058623449379755
Dextrometorfano Jarabe;Pulsioxímetro Digital;0.019639934533551555;0.07717012012475681;0.002130747614489084;0.10849056603773585;1.4058623449379752
Ácido Acetilsalicílico 100Mg;Tensiómetro Digital De Brazo;0.03461692863539512;0.056572893184695675;0.002748355618688818;0.07939339875111506;1.4033823317452834
Tensiómetro Digital De Brazo;Ácido Acetilsalicílico 100Mg;0.056572893184695675;0.03461692863539512;0.002748355618688818;0.04858078602620087;1.4033823317452834
Pañales Talla M X30;Desodorante Roll-On;0.02214124695056048;0.03591390544421456;0.001111694407559522;0.0502092050209205;1.3980435822807125
Desodorante Roll-On;Pañales Talla M X30;0.03591390544421456;0.02214124695056048;0.001111694407559522;0.030954428202923476;1.3980435822807125
Ranitidina 150Mg;Magnesio Quelado;0.019362010931661674;0.07315566809745855;0.00197634561343915;0.10207336523125997;1.3952899055651715
